¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Maison Julii
{EMT_YOUR_FORCES_ATTACK_ARMY_THRACE}					Vos forces attaquent une armée de Thrace
{EMT_YOUR_FORCES_ATTACK_ARMY_ALEMANNI}						Vos forces attaquent une armée d'Alamans
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_EAST}					Vos forces attaquent une armée de l’empire d'orient
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_WEST}					Vos forces attaquent une armée de l’empire d'occident
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_EAST_REBELS}				Vos forces attaquent une armée de rebelles de l’empire d'orient
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_WEST_REBELS}				Vos forces attaquent une armée de rebelles de l’empire d'occident
{EMT_YOUR_FORCES_ATTACK_ARMY_FRANKS}							Vos forces attaquent une armée de Francs
{EMT_YOUR_FORCES_ATTACK_ARMY_HUNS}						Vos forces attaquent une armée de Huns
{EMT_YOUR_FORCES_ATTACK_ARMY_SARMATIANS}						Vos forces attaquent une armée de Sarmates
{EMT_YOUR_FORCES_ATTACK_ARMY_SASSANIDS}						Vos forces attaquent une armée de Sassanides
{EMT_YOUR_FORCES_ATTACK_ARMY_SAXONS}							Vos forces attaquent une armée de Saxons
{EMT_YOUR_FORCES_ATTACK_ARMY_VANDALS}						Vos forces attaquent une armée de Vandales
{EMT_YOUR_FORCES_ATTACK_ARMY_GOTHS}						Vos forces attaquent une armée de Goths
{EMT_YOUR_FORCES_ATTACK_ARMY_WHITE_HUNS}						Vos forces attaquent une armée de Huns blancs
{EMT_YOUR_FORCES_ATTACK_ARMY_OSTROGOTHS}						Vos forces attaquent une armée d'Ostrogoths
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANO_BRITISH}					Vos forces attaquent une armée de Britto-romains
{EMT_YOUR_FORCES_ATTACK_ARMY_SLAVS}							Vos forces attaquent une armée de Slaves
{EMT_YOUR_FORCES_ATTACK_ARMY_SLAVE}						Vos forces attaquent une armée de rebelles
{EMT_YOUR_FORCES_ATTACK_ARMY_CELTS}						Vos forces attaquent une armée de Celtes
{EMT_YOUR_FORCES_ATTACK_ARMY_BERBERS}					Vos forces attaquent une armée de Berbères
{EMT_YOUR_FORCES_ATTACK_ARMY_MOORS}						Vos forces attaquent une armée de Maures



{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_JULII}					Vos forces attaquent une flottille de la faction Julii
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_BRUTII}					Vos forces attaquent une flottille de la faction Brutii
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_SCIPII}					Vos forces attaquent une flottille de la faction Scipii
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_SENATE}					Vos forces attaquent une flottille du sénat
{EMT_YOUR_FORCES_ATTACK_NAVY_MACEDON}					Vos forces attaquent une flottille de Macédoine
{EMT_YOUR_FORCES_ATTACK_NAVY_EGYPT}					Vos forces attaquent une flottille d’Egypte
{EMT_YOUR_FORCES_ATTACK_NAVY_SELEUCID}					Vos forces attaquent une flottille de l’Empire séleucide
{EMT_YOUR_FORCES_ATTACK_NAVY_CARTHAGE}					Vos forces attaquent une flottille de Carthage
{EMT_YOUR_FORCES_ATTACK_NAVY_PARTHIA}					Vos forces attaquent une flottille de Parthie
{EMT_YOUR_FORCES_ATTACK_NAVY_PONTUS}					Vos forces attaquent une flottille du Pont
{EMT_YOUR_FORCES_ATTACK_NAVY_GAULS}					Vos forces attaquent une flottille de Gaule
{EMT_YOUR_FORCES_ATTACK_NAVY_GERMANS}					Vos forces attaquent une flottille de Germanie
{EMT_YOUR_FORCES_ATTACK_NAVY_BRITONS}					Vos forces attaquent une flottille de Britannie
{EMT_YOUR_FORCES_ATTACK_NAVY_ARMENIA}					Vos forces attaquent une flottille d’Arménie
{EMT_YOUR_FORCES_ATTACK_NAVY_DACIA}					Vos forces attaquent une flottille de Dacie
{EMT_YOUR_FORCES_ATTACK_NAVY_GREEK_CITIES}					Vos forces attaquent une flottille des cités grecques
{EMT_YOUR_FORCES_ATTACK_NAVY_NUMIDIA}					Vos forces attaquent une flottille de Numidie
{EMT_YOUR_FORCES_ATTACK_NAVY_SCYTHIA}					Vos forces attaquent une flottille de Scythie
{EMT_YOUR_FORCES_ATTACK_NAVY_SPAIN}					Vos forces attaquent une flottille d’Espagne
{EMT_YOUR_FORCES_ATTACK_NAVY_THRACE}					Vos forces attaquent une flottille de Thrace
{EMT_YOUR_FORCES_ATTACK_NAVY_ALEMANNI}				Vos forces attaquent une flottille d'Alamans
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_EAST}			Vos forces attaquent une flottille de l’empire d'orient
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_WEST}			Vos forces attaquent une flottille de l’empire d'occident
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_EAST_REBELS}			Vos forces attaquent une flottille de rebelles de l’empire d'orient
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_WEST_REBELS}			Vos forces attaquent une flottille de rebelles de l’empire d'occident
{EMT_YOUR_FORCES_ATTACK_NAVY_FRANKS}				Vos forces attaquent une flottille de Francs
{EMT_YOUR_FORCES_ATTACK_NAVY_HUNS}			Vos forces attaquent une flottille de Huns
{EMT_YOUR_FORCES_ATTACK_NAVY_SARMATIANS}			Vos forces attaquent une flottille de Sarmates
{EMT_YOUR_FORCES_ATTACK_NAVY_SASSANIDS}				Vos forces attaquent une flottille de Sassanides
{EMT_YOUR_FORCES_ATTACK_NAVY_SAXONS}				Vos forces attaquent une flottille de Saxons
{EMT_YOUR_FORCES_ATTACK_NAVY_VANDALS}				Vos forces attaquent une flottille de Vandales
{EMT_YOUR_FORCES_ATTACK_NAVY_GOTHS}				Vos forces attaquent une flottille de Goths
{EMT_YOUR_FORCES_ATTACK_NAVY_WHITE_HUNS}			Vos forces attaquent une flottille de Huns blancs
{EMT_YOUR_FORCES_ATTACK_NAVY_OSTROGOTHS}			Vos forces attaquent une flottille d'Ostrogoths
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANO_BRITISH}		Vos forces attaquent une flottille de Britto-romains
{EMT_YOUR_FORCES_ATTACK_NAVY_SLAVS}					Vos forces attaquent une flottille de Slaves
{EMT_YOUR_FORCES_ATTACK_NAVY_SLAVE}					Vos forces attaquent une flottille de rebelles
{EMT_YOUR_FORCES_ATTACK_NAVY_CELTS}					Vos forces attaquent une flottille de Celtes
{EMT_YOUR_FORCES_ATTACK_NAVY_BERBERS}					Vos forces attaquent une flottille de Berbères
{EMT_YOUR_FORCES_ATTACK_NAVY_MOORS}					Vos forces attaquent une flottille de Maures

{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_JULII}					Vos forces attaquent par surprise une armée de la faction Julii
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_BRUTII}					Vos forces attaquent par surprise une armée de la faction Brutii
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_SCIPII}					Vos forces attaquent par surprise une armée de la faction Scipii
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_SENATE}					Vos forces attaquent par surprise une armée du sénat
{EMT_YOUR_FORCES_AMBUSH_ARMY_MACEDON}					Vos forces attaquent par surprise une armée de Macédoine
{EMT_YOUR_FORCES_AMBUSH_ARMY_EGYPT}					Vos forces attaquent par surprise une armée d’Egypte
{EMT_YOUR_FORCES_AMBUSH_ARMY_SELEUCID}					Vos forces attaquent par surprise une armée de l’Empire séleucide
{EMT_YOUR_FORCES_AMBUSH_ARMY_CARTHAGE}					Vos forces attaquent par surprise une armée de Carthage
{EMT_YOUR_FORCES_AMBUSH_ARMY_PARTHIA}					Vos forces attaquent par surprise une armée de Parthie
{EMT_YOUR_FORCES_AMBUSH_ARMY_PONTUS}					Vos forces attaquent par surprise une armée du Pont
{EMT_YOUR_FORCES_AMBUSH_ARMY_GAULS}					Vos forces attaquent par surprise une armée de Gaule
{EMT_YOUR_FORCES_AMBUSH_ARMY_GERMANS}					Vos forces attaquent par surprise une armée de Germanie
{EMT_YOUR_FORCES_AMBUSH_ARMY_BRITONS}					Vos forces attaquent par surprise une armée de Britannie
{EMT_YOUR_FORCES_AMBUSH_ARMY_ARMENIA}					Vos forces attaquent par surprise une armée d’Arménie
{EMT_YOUR_FORCES_AMBUSH_ARMY_DACIA}					Vos forces attaquent par surprise une armée de Dacie
{EMT_YOUR_FORCES_AMBUSH_ARMY_GREEK_CITIES}					Vos forces attaquent par surprise une armée des cités grecques
{EMT_YOUR_FORCES_AMBUSH_ARMY_NUMIDIA}					Vos forces attaquent par surprise une armée de Numidie
{EMT_YOUR_FORCES_AMBUSH_ARMY_SCYTHIA}					Vos forces attaquent par surprise une armée de Scythie
{EMT_YOUR_FORCES_AMBUSH_ARMY_SPAIN}					Vos forces attaquent par surprise une armée d’Espagne
{EMT_YOUR_FORCES_AMBUSH_ARMY_THRACE}					Vos forces attaquent par surprise une armée de Thrace
{EMT_YOUR_FORCES_AMBUSH_ARMY_ALEMANNI}				Vos forces attaquent par surprise une armée d'Alamans
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_EAST}			Vos forces attaquent par surprise une armée de l’empire d'orient
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_WEST}			Vos forces attaquent par surprise une armée de l’empire d'occident
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_EAST_REBELS}			Vos forces attaquent par surprise une armée de rebelles de l’empire d'orient
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_WEST_REBELS}			Vos forces attaquent par surprise une armée de rebelles de l’empire d'occident
{EMT_YOUR_FORCES_AMBUSH_ARMY_FRANKS}				Vos forces attaquent par surprise une armée de Francs
{EMT_YOUR_FORCES_AMBUSH_ARMY_HUNS}			Vos forces attaquent par surprise une armée de Huns
{EMT_YOUR_FORCES_AMBUSH_ARMY_SARMATIANS}			Vos forces attaquent par surprise une armée de Sarmates
{EMT_YOUR_FORCES_AMBUSH_ARMY_SASSANIDS}				Vos forces attaquent par surprise une armée de Sassanides
{EMT_YOUR_FORCES_AMBUSH_ARMY_SAXONS}				Vos forces attaquent par surprise une armée de Saxons
{EMT_YOUR_FORCES_AMBUSH_ARMY_VANDALS}				Vos forces attaquent par surprise une armée de Vandales
{EMT_YOUR_FORCES_AMBUSH_ARMY_GOTHS}				Vos forces attaquent par surprise une armée de Goths
{EMT_YOUR_FORCES_AMBUSH_ARMY_WHITE_HUNS}			Vos forces attaquent par surprise une armée de Huns blancs
{EMT_YOUR_FORCES_AMBUSH_ARMY_OSTROGOTHS}			Vos forces attaquent par surprise une armée d'Ostrogoths
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANO_BRITISH}		Vos forces attaquent par surprise une armée de Britto-romains
{EMT_YOUR_FORCES_AMBUSH_ARMY_SLAVS}					Vos forces attaquent par surprise une armée de Slaves
{EMT_YOUR_FORCES_AMBUSH_ARMY_SLAVE}					Vos forces attaquent par surprise une armée de rebelles
{EMT_YOUR_FORCES_AMBUSH_ARMY_CELTS}					Vos forces attaquent par surprise une armée de Celtes
{EMT_YOUR_FORCES_AMBUSH_ARMY_BERBERS}					Vos forces attaquent par surprise une armée de Berbères
{EMT_YOUR_FORCES_AMBUSH_ARMY_MOORS}					Vos forces attaquent par surprise une armée de Maures


{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_JULII}					Vos forces sont attaquées par une armée de la faction Julii
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_BRUTII}					Vos forces sont attaquées par une armée de la faction Brutii
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_SCIPII}					Vos forces sont attaquées par une armée de la faction Scipii
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_SENATE}					Vos forces sont attaquées par une armée du sénat
{EMT_YOUR_FORCES_ATTACKED_ARMY_MACEDON}					Vos forces sont attaquées par une armée de Macédoine
{EMT_YOUR_FORCES_ATTACKED_ARMY_EGYPT}					Vos forces sont attaquées par une armée d’Egypte
{EMT_YOUR_FORCES_ATTACKED_ARMY_SELEUCID}					Vos forces sont attaquées par une armée de l’Empire séleucide
{EMT_YOUR_FORCES_ATTACKED_ARMY_CARTHAGE}					Vos forces sont attaquées par une armée de Carthage
{EMT_YOUR_FORCES_ATTACKED_ARMY_PARTHIA}					Vos forces sont attaquées par une armée de Parthie
{EMT_YOUR_FORCES_ATTACKED_ARMY_PONTUS}					Vos forces sont attaquées par une armée du Pont
{EMT_YOUR_FORCES_ATTACKED_ARMY_GAULS}					Vos forces sont attaquées par une armée de Gaule
{EMT_YOUR_FORCES_ATTACKED_ARMY_GERMANS}					Vos forces sont attaquées par une armée de Germanie
{EMT_YOUR_FORCES_ATTACKED_ARMY_BRITONS}					Vos forces sont attaquées par une armée de Britannie
{EMT_YOUR_FORCES_ATTACKED_ARMY_ARMENIA}					Vos forces sont attaquées par une armée d’Arménie
{EMT_YOUR_FORCES_ATTACKED_ARMY_DACIA}					Vos forces sont attaquées par une armée de Dacie
{EMT_YOUR_FORCES_ATTACKED_ARMY_GREEK_CITIES}					Vos forces sont attaquées par une armée des cités grecques
{EMT_YOUR_FORCES_ATTACKED_ARMY_NUMIDIA}					Vos forces sont attaquées par une armée de Numidie
{EMT_YOUR_FORCES_ATTACKED_ARMY_SCYTHIA}					Vos forces sont attaquées par une armée de Scythie
{EMT_YOUR_FORCES_ATTACKED_ARMY_SPAIN}					Vos forces sont attaquées par une armée d’Espagne
{EMT_YOUR_FORCES_ATTACKED_ARMY_THRACE}					Vos forces sont attaquées par une armée de Thrace
{EMT_YOUR_FORCES_ATTACKED_ARMY_ALEMANNI}				Vos forces sont attaquées par une armée d'Alamans
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_EAST}				Vos forces sont attaquées par une armée de l’empire d'orient
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_WEST}				Vos forces sont attaquées par une armée de l’empire d'occident
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_EAST_REBELS}				Vos forces sont attaquées par une armée de rebelles de l’empire d'orient
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_WEST_REBELS}				Vos forces sont attaquées par une armée de rebelles de l’empire d'occident
{EMT_YOUR_FORCES_ATTACKED_ARMY_FRANKS}					Vos forces sont attaquées par une armée de Francs
{EMT_YOUR_FORCES_ATTACKED_ARMY_HUNS}				Vos forces sont attaquées par une armée de Huns
{EMT_YOUR_FORCES_ATTACKED_ARMY_SARMATIANS}				Vos forces sont attaquées par une armée de Sarmates
{EMT_YOUR_FORCES_ATTACKED_ARMY_SASSANIDS}				Vos forces sont attaquées par une armée de Sassanides
{EMT_YOUR_FORCES_ATTACKED_ARMY_SAXONS}					Vos forces sont attaquées par une armée de Saxons
{EMT_YOUR_FORCES_ATTACKED_ARMY_VANDALS}					Vos forces sont attaquées par une armée de Vandales
{EMT_YOUR_FORCES_ATTACKED_ARMY_GOTHS}				Vos forces sont attaquées par une armée de Goths
{EMT_YOUR_FORCES_ATTACKED_ARMY_WHITE_HUNS}				Vos forces sont attaquées par une armée de Huns blancs
{EMT_YOUR_FORCES_ATTACKED_ARMY_OSTROGOTHS}				Vos forces sont attaquées par une armée d'Ostrogoths
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANO_BRITISH}			Vos forces sont attaquées par une armée de Britto-romains
{EMT_YOUR_FORCES_ATTACKED_ARMY_SLAVS}					Vos forces sont attaquées par une armée de Slaves
{EMT_YOUR_FORCES_ATTACKED_ARMY_SLAVE}					Vos forces sont attaquées par une armée de rebelles
{EMT_YOUR_FORCES_ATTACKED_ARMY_CELTS}					Vos forces sont attaquées par une armée de Celtes
{EMT_YOUR_FORCES_ATTACKED_ARMY_BERBERS}					Vos forces sont attaquées par une armée de Berbères
{EMT_YOUR_FORCES_ATTACKED_ARMY_MOORS}					Vos forces sont attaquées par une armée de Maures



{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_JULII}					Vos forces sont attaquées par une flottille de la faction Julii
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_BRUTII}					Vos forces sont attaquées par une flottille de la faction Brutii
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_SCIPII}					Vos forces sont attaquées par une flottille de la faction Scipii
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_SENATE}					Vos forces sont attaquées par une flottille du sénat
{EMT_YOUR_FORCES_ATTACKED_NAVY_MACEDON}					Vos forces sont attaquées par une flottille de Macédoine
{EMT_YOUR_FORCES_ATTACKED_NAVY_EGYPT}					Vos forces sont attaquées par une flottille d’Egypte
{EMT_YOUR_FORCES_ATTACKED_NAVY_SELEUCID}					Vos forces sont attaquées par une flottille de l’Empire séleucide
{EMT_YOUR_FORCES_ATTACKED_NAVY_CARTHAGE}					Vos forces sont attaquées par une flottille de Carthage
{EMT_YOUR_FORCES_ATTACKED_NAVY_PARTHIA}					Vos forces sont attaquées par une flottille de Parthie
{EMT_YOUR_FORCES_ATTACKED_NAVY_PONTUS}					Vos forces sont attaquées par une flottille du Pont
{EMT_YOUR_FORCES_ATTACKED_NAVY_GAULS}					Vos forces sont attaquées par une flottille de Gaule
{EMT_YOUR_FORCES_ATTACKED_NAVY_GERMANS}					Vos forces sont attaquées par une flottille de Germanie
{EMT_YOUR_FORCES_ATTACKED_NAVY_BRITONS}					Vos forces sont attaquées par une flottille de Britannie
{EMT_YOUR_FORCES_ATTACKED_NAVY_ARMENIA}					Vos forces sont attaquées par une flottille d’Arménie
{EMT_YOUR_FORCES_ATTACKED_NAVY_DACIA}					Vos forces sont attaquées par une flottille de Dacie
{EMT_YOUR_FORCES_ATTACKED_NAVY_GREEK_CITIES}					Vos forces sont attaquées par une flottille des cités grecques
{EMT_YOUR_FORCES_ATTACKED_NAVY_NUMIDIA}					Vos forces sont attaquées par une flottille de Numidie
{EMT_YOUR_FORCES_ATTACKED_NAVY_SCYTHIA}					Vos forces sont attaquées par une flottille de Scythie
{EMT_YOUR_FORCES_ATTACKED_NAVY_SPAIN}					Vos forces sont attaquées par une flottille d’Espagne
{EMT_YOUR_FORCES_ATTACKED_NAVY_THRACE}					Vos forces sont attaquées par une flottille de Thrace
{EMT_YOUR_FORCES_ATTACKED_NAVY_ALEMANNI}				Vos forces sont attaquées par une flottille d'Alamans
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_EAST}				Vos forces sont attaquées par une flottille de l’empire d'orient
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_WEST}				Vos forces sont attaquées par une flottille de l’empire d'occident
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_EAST_REBELS}				Vos forces sont attaquées par une flottille de rebelles de l’empire d'orient
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_WEST_REBELS}				Vos forces sont attaquées par une flottille de rebelles de l’empire d'occident
{EMT_YOUR_FORCES_ATTACKED_NAVY_FRANKS}					Vos forces sont attaquées par une flottille de Francs
{EMT_YOUR_FORCES_ATTACKED_NAVY_HUNS}				Vos forces sont attaquées par une flottille de Huns
{EMT_YOUR_FORCES_ATTACKED_NAVY_SARMATIANS}				Vos forces sont attaquées par une flottille de Sarmates
{EMT_YOUR_FORCES_ATTACKED_NAVY_SASSANIDS}				Vos forces sont attaquées par une flottille de Sassanides
{EMT_YOUR_FORCES_ATTACKED_NAVY_SAXONS}					Vos forces sont attaquées par une flottille de Saxons
{EMT_YOUR_FORCES_ATTACKED_NAVY_VANDALS}					Vos forces sont attaquées par une flottille de Vandales
{EMT_YOUR_FORCES_ATTACKED_NAVY_GOTHS}				Vos forces sont attaquées par une flottille de Goths
{EMT_YOUR_FORCES_ATTACKED_NAVY_WHITE_HUNS}				Vos forces sont attaquées par une flottille de Huns blancs
{EMT_YOUR_FORCES_ATTACKED_NAVY_OSTROGOTHS}				Vos forces sont attaquées par une flottille d'Ostrogoths
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANO_BRITISH}			Vos forces sont attaquées par une flottille de Britto-romains
{EMT_YOUR_FORCES_ATTACKED_NAVY_SLAVS}					Vos forces sont attaquées par une flottille de Slaves
{EMT_YOUR_FORCES_ATTACKED_NAVY_SLAVE}					Vos forces sont attaquées par une flottille de rebelles
{EMT_YOUR_FORCES_ATTACKED_NAVY_CELTS}					Vos forces sont attaquées par une flottille de Celtes
{EMT_YOUR_FORCES_ATTACKED_NAVY_BERBERS}					Vos forces sont attaquées par une flottille de Berbères
{EMT_YOUR_FORCES_ATTACKED_NAVY_MOORS}					Vos forces sont attaquées par une flottille de Maures


{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_JULII}					Vos forces sont attaquées par surprise par une armée de la faction Julii
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_BRUTII}					Vos forces sont attaquées par surprise par une armée de la faction Brutii
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_SCIPII}					Vos forces sont attaquées par surprise par une armée de la faction Scipii
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_SENATE}					Vos forces sont attaquées par surprise par une armée du sénat
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MACEDON}					Vos forces sont attaquées par surprise par une armée de Macédoine
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EGYPT}					Vos forces sont attaquées par surprise par une armée d’Egypte
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SELEUCID}					Vos forces sont attaquées par surprise par une armée de l’Empire séleucide
{EMT_YOUR_FORCES_AMBUSHED_ARMY_CARTHAGE}					Vos forces sont attaquées par surprise par une armée de Carthage
{EMT_YOUR_FORCES_AMBUSHED_ARMY_PARTHIA}					Vos forces sont attaquées par surprise par une armée de Parthie
{EMT_YOUR_FORCES_AMBUSHED_ARMY_PONTUS}					Vos forces sont attaquées par surprise par une armée du Pont
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GAULS}					Vos forces sont attaquées par surprise par une armée de Gaule
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GERMANS}					Vos forces sont attaquées par surprise par une armée de Germanie
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BRITONS}					Vos forces sont attaquées par surprise par une armée de Britannie
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ARMENIA}					Vos forces sont attaquées par surprise par une armée d’Arménie
{EMT_YOUR_FORCES_AMBUSHED_ARMY_DACIA}					Vos forces sont attaquées par surprise par une armée de Dacie
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GREEK_CITIES}					Vos forces sont attaquées par surprise par une armée des cités grecques
{EMT_YOUR_FORCES_AMBUSHED_ARMY_NUMIDIA}					Vos forces sont attaquées par surprise par une armée de Numidie
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SCYTHIA}					Vos forces sont attaquées par surprise par une armée de Scythie
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SPAIN}					Vos forces sont attaquées par surprise par une armée d’Espagne
{EMT_YOUR_FORCES_AMBUSHED_ARMY_THRACE}					Vos forces sont attaquées par surprise par une armée de Thrace
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ALEMANNI}				Vos forces sont attaquées par surprise par une armée d'Alamans
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_EAST}				Vos forces sont attaquées par surprise par une armée de l’empire d'orient
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_WEST}				Vos forces sont attaquées par surprise par une armée de l’empire d'occident
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_EAST_REBELS}				Vos forces sont attaquées par surprise par une armée de rebelles de l’empire d'orient
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_WEST_REBELS}				Vos forces sont attaquées par surprise par une armée de rebelles de l’empire d'occident
{EMT_YOUR_FORCES_AMBUSHED_ARMY_FRANKS}					Vos forces sont attaquées par surprise par une armée de Francs
{EMT_YOUR_FORCES_AMBUSHED_ARMY_HUNS}				Vos forces sont attaquées par surprise par une armée de Huns
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SARMATIANS}				Vos forces sont attaquées par surprise par une armée de Sarmates
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SASSANIDS}				Vos forces sont attaquées par surprise par une armée de Sassanides
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SAXONS}					Vos forces sont attaquées par surprise par une armée de Saxons
{EMT_YOUR_FORCES_AMBUSHED_ARMY_VANDALS}					Vos forces sont attaquées par surprise par une armée de Vandales
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GOTHS}				Vos forces sont attaquées par surprise par une armée de Goths
{EMT_YOUR_FORCES_AMBUSHED_ARMY_WHITE_HUNS}				Vos forces sont attaquées par surprise par une armée de Huns blancs
{EMT_YOUR_FORCES_AMBUSHED_ARMY_OSTROGOTHS}				Vos forces sont attaquées par surprise par une armée d'Ostrogoths
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANO_BRITISH}			Vos forces sont attaquées par surprise par une armée de Britto-romains
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SLAVS}					Vos forces sont attaquées par surprise par une armée de Slaves
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SLAVE}					Vos forces sont attaquées par surprise par une armée de rebelles
{EMT_YOUR_FORCES_AMBUSHED_ARMY_CELTS}					Vos forces sont attaquées par surprise par une armée de Celtes
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BERBERS}					Vos forces sont attaquées par surprise par une armée de Berbères
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MOORS}					Vos forces sont attaquées par surprise par une armée de Maures


{EMT_VICTORY_ROMANS_JULII}		La maison Julii est victorieuse
{EMT_VICTORY_ROMANS_BRUTII}		La maison Brutii est victorieuse
{EMT_VICTORY_ROMANS_SCIPII}		La maison Scipii est victorieuse
{EMT_VICTORY_ROMANS_SENATE}		Le sénat et le peuple de Rome sont victorieux
{EMT_VICTORY_MACEDON}			Les Macédoniens sont victorieux
{EMT_VICTORY_EGYPT}			Les Egyptiens sont victorieux
{EMT_VICTORY_SELEUCID}			Les Séleucides sont victorieux
{EMT_VICTORY_CARTHAGE}		Les Carthaginois sont victorieux
{EMT_VICTORY_PARTHIA}			Les Parthes sont victorieux
{EMT_VICTORY_PONTUS}			Le peuple du Pont est victorieux
{EMT_VICTORY_GAULS}			Les Gaulois sont victorieux
{EMT_VICTORY_GERMANS}			Les Germains sont victorieux
{EMT_VICTORY_BRITONS}			Les Britons sont victorieux
{EMT_VICTORY_ARMENIA}			Les Arméniens sont victorieux
{EMT_VICTORY_DACIA}			Les Daces sont victorieux
{EMT_VICTORY_GREEK_CITIES}		Les Grecs sont victorieux
{EMT_VICTORY_NUMIDIA}			Les Numides sont victorieux
{EMT_VICTORY_SCYTHIA}			Les Scythes sont victorieux
{EMT_VICTORY_SPAIN}			Les Espagnols sont victorieux
{EMT_VICTORY_THRACE}			Les Thraces sont victorieux
{EMT_VICTORY_ALEMANNI}			Les Alamans sont victorieux
{EMT_VICTORY_EMPIRE_EAST}		L'empire d'orient est victorieux
{EMT_VICTORY_EMPIRE_WEST}		L'empire d'occident est victorieux
{EMT_VICTORY_EMPIRE_EAST_REBELS}	Les rebelles de l'empire d'orient sont victorieux
{EMT_VICTORY_EMPIRE_WEST_REBELS}	Les rebelles de l'empire d'occident sont victorieux
