¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Los Julios
{EMT_YOUR_FORCES_ATTACK_ARMY_ARMENIA}					Tus fuerzas atacan a un ejército de Armenia.
{EMT_YOUR_FORCES_ATTACK_ARMY_DACIA}					Tus fuerzas atacan a un ejército de Dacia.
{EMT_YOUR_FORCES_ATTACK_ARMY_GREEK_CITIES}					Tus fuerzas atacan a un ejército de las polis griegas.
{EMT_YOUR_FORCES_ATTACK_ARMY_NUMIDIA}					Tus fuerzas atacan a un ejército de Numidia.
{EMT_YOUR_FORCES_ATTACK_ARMY_SCYTHIA}					Tus fuerzas atacan a un ejército de Escitia.
{EMT_YOUR_FORCES_ATTACK_ARMY_SPAIN}					Tus fuerzas atacan a un ejército de Hispania.
{EMT_YOUR_FORCES_ATTACK_ARMY_THRACE}					Tus fuerzas atacan a un ejército de Tracia.
{EMT_YOUR_FORCES_ATTACK_ARMY_ALEMANNI}						Tus fuerzas atacan a un ejército de alamanes.
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_EAST}					Tus fuerzas atacan a un ejército del imperio de oriente.
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_WEST}					Tus fuerzas atacan a un ejército del imperio de occidente.
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_EAST_REBELS}				Tus fuerzas atacan a un ejército de rebeldes del imperio de oriente.
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_WEST_REBELS}				Tus fuerzas atacan a un ejército de rebeldes del imperio de occidente.
{EMT_YOUR_FORCES_ATTACK_ARMY_FRANKS}							Tus fuerzas atacan a un ejército de francos.
{EMT_YOUR_FORCES_ATTACK_ARMY_HUNS}						Tus fuerzas atacan a un ejército de hunos.
{EMT_YOUR_FORCES_ATTACK_ARMY_SARMATIANS}						Tus fuerzas atacan a un ejército de sármatas.
{EMT_YOUR_FORCES_ATTACK_ARMY_SASSANIDS}						Tus fuerzas atacan a un ejército de sasánidas.
{EMT_YOUR_FORCES_ATTACK_ARMY_SAXONS}							Tus fuerzas atacan a un ejército de sajones.
{EMT_YOUR_FORCES_ATTACK_ARMY_VANDALS}						Tus fuerzas atacan a un ejército de vándalos.
{EMT_YOUR_FORCES_ATTACK_ARMY_GOTHS}						Tus fuerzas atacan a un ejército de godos.
{EMT_YOUR_FORCES_ATTACK_ARMY_WHITE_HUNS}						Tus fuerzas atacan a un ejército de hunos blancos.
{EMT_YOUR_FORCES_ATTACK_ARMY_OSTROGOTHS}						Tus fuerzas atacan a un ejército de ostrogodos.
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANO_BRITISH}					Tus fuerzas atacan a un ejército de britanorromanos.
{EMT_YOUR_FORCES_ATTACK_ARMY_SLAVS}							Tus fuerzas atacan a un ejército de eslavos.
{EMT_YOUR_FORCES_ATTACK_ARMY_SLAVE}						Tus fuerzas atacan a un ejército de rebeldes.
{EMT_YOUR_FORCES_ATTACK_ARMY_CELTS}						Tus fuerzas atacan a un ejército de celtas.
{EMT_YOUR_FORCES_ATTACK_ARMY_BERBERS}					Tus fuerzas atacan a un ejército de bereberes.
{EMT_YOUR_FORCES_ATTACK_ARMY_MOORS}						Tus fuerzas atacan a un ejército de sarracenos.



{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_JULII}					Tus fuerzas atacan a una armada de la facción de los Julios.
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_BRUTII}					Tus fuerzas atacan a una armada de la facción de los Brutos.
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_SCIPII}					Tus fuerzas atacan a una armada de la facción de los Escipiones.
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_SENATE}					Tus fuerzas atacan a una armada de la facción del Senado.
{EMT_YOUR_FORCES_ATTACK_NAVY_MACEDON}					Tus fuerzas atacan a una armada de Macedonia.
{EMT_YOUR_FORCES_ATTACK_NAVY_EGYPT}					Tus fuerzas atacan a una armada de Egipto.
{EMT_YOUR_FORCES_ATTACK_NAVY_SELEUCID}					Tus fuerzas atacan a una armada del imperio seléucida.
{EMT_YOUR_FORCES_ATTACK_NAVY_CARTHAGE}					Tus fuerzas atacan a una armada de Cartago.
{EMT_YOUR_FORCES_ATTACK_NAVY_PARTHIA}					Tus fuerzas atacan a una armada de Partia.
{EMT_YOUR_FORCES_ATTACK_NAVY_PONTUS}					Tus fuerzas atacan a una armada de Ponto.
{EMT_YOUR_FORCES_ATTACK_NAVY_GAULS}					Tus fuerzas atacan a una armada de la Galia.
{EMT_YOUR_FORCES_ATTACK_NAVY_GERMANS}					Tus fuerzas atacan a una armada de Germania.
{EMT_YOUR_FORCES_ATTACK_NAVY_BRITONS}					Tus fuerzas atacan a una armada de Britania.
{EMT_YOUR_FORCES_ATTACK_NAVY_ARMENIA}					Tus fuerzas atacan a una armada de Armenia.
{EMT_YOUR_FORCES_ATTACK_NAVY_DACIA}					Tus fuerzas atacan a una armada de Dacia.
{EMT_YOUR_FORCES_ATTACK_NAVY_GREEK_CITIES}					Tus fuerzas atacan a una armada de las polis griegas.
{EMT_YOUR_FORCES_ATTACK_NAVY_NUMIDIA}					Tus fuerzas atacan a una armada de Numidia.
{EMT_YOUR_FORCES_ATTACK_NAVY_SCYTHIA}					Tus fuerzas atacan a una armada de Escitia.
{EMT_YOUR_FORCES_ATTACK_NAVY_SPAIN}					Tus fuerzas atacan a una armada de Hispania.
{EMT_YOUR_FORCES_ATTACK_NAVY_THRACE}					Tus fuerzas atacan a una armada de Tracia.
{EMT_YOUR_FORCES_ATTACK_NAVY_ALEMANNI}				Tus fuerzas atacan a una armada de alamanes.
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_EAST}			Tus fuerzas atacan a una armada del imperio de oriente.
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_WEST}			Tus fuerzas atacan a una armada del imperio de occidente.
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_EAST_REBELS}			Tus fuerzas atacan a una armada de rebeldes del imperio de oriente.
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_WEST_REBELS}			Tus fuerzas atacan a una armada de rebeldes del imperio de occidente.
{EMT_YOUR_FORCES_ATTACK_NAVY_FRANKS}				Tus fuerzas atacan a una armada de francos.
{EMT_YOUR_FORCES_ATTACK_NAVY_HUNS}			Tus fuerzas atacan a una armada de hunos.
{EMT_YOUR_FORCES_ATTACK_NAVY_SARMATIANS}			Tus fuerzas atacan a una armada de sármatas.
{EMT_YOUR_FORCES_ATTACK_NAVY_SASSANIDS}				Tus fuerzas atacan a una armada de sasánidas.
{EMT_YOUR_FORCES_ATTACK_NAVY_SAXONS}				Tus fuerzas atacan a una armada de sajones.
{EMT_YOUR_FORCES_ATTACK_NAVY_VANDALS}				Tus fuerzas atacan a una armada de vándalos.
{EMT_YOUR_FORCES_ATTACK_NAVY_GOTHS}				Tus fuerzas atacan a una armada de godos.
{EMT_YOUR_FORCES_ATTACK_NAVY_WHITE_HUNS}			Tus fuerzas atacan a una armada de hunos blancos.
{EMT_YOUR_FORCES_ATTACK_NAVY_OSTROGOTHS}			Tus fuerzas atacan a una armada de ostrogodos.
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANO_BRITISH}		Tus fuerzas atacan a una armada de britanorromanos.
{EMT_YOUR_FORCES_ATTACK_NAVY_SLAVS}					Tus fuerzas atacan a una armada de eslavos.
{EMT_YOUR_FORCES_ATTACK_NAVY_SLAVE}					Tus fuerzas atacan a una armada de rebeldes.
{EMT_YOUR_FORCES_ATTACK_NAVY_CELTS}					Tus fuerzas atacan a una armada de celtas.
{EMT_YOUR_FORCES_ATTACK_NAVY_BERBERS}					Tus fuerzas atacan a una armada de bereberes.
{EMT_YOUR_FORCES_ATTACK_NAVY_MOORS}					Tus fuerzas atacan a una armada de sarracenos.

{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_JULII}					Tus fuerzas emboscan a un ejército de la facción de los Julios.
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_BRUTII}					Tus fuerzas emboscan a un ejército de la facción de los Brutos.
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_SCIPII}					Tus fuerzas emboscan a un ejército de la facción de los Escipiones.
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_SENATE}					Tus fuerzas emboscan a un ejército del Senado.
{EMT_YOUR_FORCES_AMBUSH_ARMY_MACEDON}					Tus fuerzas emboscan a un ejército de Macedonia.
{EMT_YOUR_FORCES_AMBUSH_ARMY_EGYPT}					Tus fuerzas emboscan a un ejército de Egipto.
{EMT_YOUR_FORCES_AMBUSH_ARMY_SELEUCID}					Tus fuerzas emboscan a un ejército del imperio seléucida.
{EMT_YOUR_FORCES_AMBUSH_ARMY_CARTHAGE}					Tus fuerzas emboscan a un ejército de Cartago.
{EMT_YOUR_FORCES_AMBUSH_ARMY_PARTHIA}					Tus fuerzas emboscan a un ejército de Partia.
{EMT_YOUR_FORCES_AMBUSH_ARMY_PONTUS}					Tus fuerzas emboscan a un ejército de Ponto.
{EMT_YOUR_FORCES_AMBUSH_ARMY_GAULS}					Tus fuerzas emboscan a un ejército de la Galia.
{EMT_YOUR_FORCES_AMBUSH_ARMY_GERMANS}					Tus fuerzas emboscan a un ejército de Germania.
{EMT_YOUR_FORCES_AMBUSH_ARMY_BRITONS}					Tus fuerzas emboscan a un ejército de Britania.
{EMT_YOUR_FORCES_AMBUSH_ARMY_ARMENIA}					Tus fuerzas emboscan a un ejército de Armenia.
{EMT_YOUR_FORCES_AMBUSH_ARMY_DACIA}					Tus fuerzas emboscan a un ejército de Dacia.
{EMT_YOUR_FORCES_AMBUSH_ARMY_GREEK_CITIES}					Tus fuerzas emboscan a un ejército de las polis griegas.
{EMT_YOUR_FORCES_AMBUSH_ARMY_NUMIDIA}					Tus fuerzas emboscan a un ejército de Numidia.
{EMT_YOUR_FORCES_AMBUSH_ARMY_SCYTHIA}					Tus fuerzas emboscan a un ejército de Escitia.
{EMT_YOUR_FORCES_AMBUSH_ARMY_SPAIN}					Tus fuerzas emboscan a un ejército de Hispania.
{EMT_YOUR_FORCES_AMBUSH_ARMY_THRACE}					Tus fuerzas emboscan a un ejército de Tracia.
{EMT_YOUR_FORCES_AMBUSH_ARMY_ALEMANNI}				Tus fuerzas emboscan a un ejército de alamanes.
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_EAST}			Tus fuerzas emboscan a un ejército del imperio de oriente.
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_WEST}			Tus fuerzas emboscan a un ejército del imperio de occidente.
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_EAST_REBELS}			Tus fuerzas emboscan a un ejército de rebeldes del imperio de oriente.
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_WEST_REBELS}			Tus fuerzas emboscan a un ejército de rebeldes del imperio de occidente.
{EMT_YOUR_FORCES_AMBUSH_ARMY_FRANKS}				Tus fuerzas emboscan a un ejército de francos.
{EMT_YOUR_FORCES_AMBUSH_ARMY_HUNS}			Tus fuerzas emboscan a un ejército de hunos.
{EMT_YOUR_FORCES_AMBUSH_ARMY_SARMATIANS}			Tus fuerzas emboscan a un ejército de sármatas.
{EMT_YOUR_FORCES_AMBUSH_ARMY_SASSANIDS}				Tus fuerzas emboscan a un ejército de sasánidas.
{EMT_YOUR_FORCES_AMBUSH_ARMY_SAXONS}				Tus fuerzas emboscan a un ejército de sajones.
{EMT_YOUR_FORCES_AMBUSH_ARMY_VANDALS}				Tus fuerzas emboscan a un ejército de vándalos.
{EMT_YOUR_FORCES_AMBUSH_ARMY_GOTHS}				Tus fuerzas emboscan a un ejército de godos.
{EMT_YOUR_FORCES_AMBUSH_ARMY_WHITE_HUNS}			Tus fuerzas emboscan a un ejército de hunos blancos.
{EMT_YOUR_FORCES_AMBUSH_ARMY_OSTROGOTHS}			Tus fuerzas emboscan a un ejército de ostrogodos.
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANO_BRITISH}		Tus fuerzas emboscan a un ejército de britanorromanos.
{EMT_YOUR_FORCES_AMBUSH_ARMY_SLAVS}					Tus fuerzas emboscan a un ejército de eslavos.
{EMT_YOUR_FORCES_AMBUSH_ARMY_SLAVE}					Tus fuerzas emboscan a un ejército de rebeldes.
{EMT_YOUR_FORCES_AMBUSH_ARMY_CELTS}					Tus fuerzas emboscan a un ejército de celtas.
{EMT_YOUR_FORCES_AMBUSH_ARMY_BERBERS}					Tus fuerzas emboscan a un ejército de bereberes.
{EMT_YOUR_FORCES_AMBUSH_ARMY_MOORS}					Tus fuerzas emboscan a un ejército de sarracenos.


{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_JULII}					Un ejército de la facción de los Julios ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_BRUTII}					Un ejército de la facción de los Brutos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_SCIPII}					Un ejército de la facción de los Escipiones ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_SENATE}					Un ejército de la facción del Senado ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_MACEDON}					Un ejército de Macedonia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_EGYPT}					Un ejército de Egipto ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_SELEUCID}					Un ejército del imperio seléucida ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_CARTHAGE}					Un ejército de Cartago ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_PARTHIA}					Un ejército de Partia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_PONTUS}					Un ejército de Ponto ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_GAULS}					Un ejército de la Galia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_GERMANS}					Un ejército de Germania ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_BRITONS}					Un ejército de Britania ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_ARMENIA}					Un ejército de Armenia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_DACIA}					Un ejército de Dacia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_GREEK_CITIES}					Un ejército de las polis griegas ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_NUMIDIA}					Un ejército de Numidia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_SCYTHIA}					Un ejército de Escitia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_SPAIN}					Un ejército de Hispania ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_THRACE}					Un ejército de Tracia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_ALEMANNI}				Un ejército de alamanes ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_EAST}				Un ejército del imperio de oriente ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_WEST}				Un ejército del imperio de occidente ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_EAST_REBELS}				Un ejército de rebeldes del imperio de oriente ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_WEST_REBELS}				Un ejército de rebeldes del imperio de occidente ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_FRANKS}					Un ejército de francos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_HUNS}				Un ejército de hunos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_SARMATIANS}				Un ejército de sármatas ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_SASSANIDS}				Un ejército de sasánidas ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_SAXONS}					Un ejército de sajones ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_VANDALS}					Un ejército de vándalos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_GOTHS}				Un ejército de godos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_WHITE_HUNS}				Un ejército de hunos blancos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_OSTROGOTHS}				Un ejército de ostrogodos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANO_BRITISH}			Un ejército de britanorromanos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_SLAVS}					Un ejército de eslavos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_SLAVE}					Un ejército de los rebeldes ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_CELTS}					Un ejército de celtas ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_BERBERS}					Un ejército de bereberes ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_ARMY_MOORS}					Un ejército de sarracenos ataca a tus fuerzas.



{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_JULII}					Una armada de la facción de los Julios ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_BRUTII}					Una armada de la facción de los Brutos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_SCIPII}					Una armada de la facción de los Escipiones ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_SENATE}					Una armada del Senado ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_MACEDON}					Una armada de Macedonia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_EGYPT}					Una armada de Egipto ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_SELEUCID}					Una armada del imperio seléucida ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_CARTHAGE}					Una armada de Cartago ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_PARTHIA}					Una armada de Partia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_PONTUS}					Una armada de Ponto ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_GAULS}					Una armada de la Galia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_GERMANS}					Una armada de Germania ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_BRITONS}					Una armada de Britania ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_ARMENIA}					Una armada de Armenia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_DACIA}					Una armada de Dacia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_GREEK_CITIES}					Una armada de las polis griegas ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_NUMIDIA}					Una armada de Numidia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_SCYTHIA}					Una armada de Escitia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_SPAIN}					Una armada de Hispania ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_THRACE}					Una armada de Tracia ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_ALEMANNI}				Una armada alamana ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_EAST}				Una armada del imperio de oriente ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_WEST}				Una armada del imperio de occidente ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_EAST_REBELS}				Una armada de rebeldes del imperio de oriente ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_WEST_REBELS}				Una armada de rebeldes del imperio de occidente ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_FRANKS}					Una armada franca ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_HUNS}				Una armada de los hunos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_SARMATIANS}				Una armada sármata ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_SASSANIDS}				Una armada sasánida ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_SAXONS}					Una armada sajona ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_VANDALS}					Una armada vándala ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_GOTHS}				Una armada goda ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_WHITE_HUNS}				Una armada de los hunos blancos ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_OSTROGOTHS}				Una armada ostrogoda ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANO_BRITISH}			Una armada britanorromana ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_SLAVS}					Una armada eslava ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_SLAVE}					Una armada rebelde ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_CELTS}					Una armada celta ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_BERBERS}					Una armada bereber ataca a tus fuerzas.
{EMT_YOUR_FORCES_ATTACKED_NAVY_MOORS}					Una armada sarracena ataca a tus fuerzas.


{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_JULII}					Un ejército de la facción de los Julios embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_BRUTII}					Un ejército de la facción de los Brutos embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_SCIPII}					Un ejército de la facción de los Escipiones embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_SENATE}					Un ejército de la facción del Senado embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MACEDON}					Un ejército de Macedonia embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EGYPT}					Un ejército de Egipto embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SELEUCID}					Un ejército del imperio seléucida embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_CARTHAGE}					Un ejército de Cartago embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_PARTHIA}					Un ejército de Partia embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_PONTUS}					Un ejército de Ponto embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GAULS}					Un ejército de la Galia embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GERMANS}					Un ejército de Germania embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BRITONS}					Un ejército de Britania embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ARMENIA}					Un ejército de Armenia embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_DACIA}					Un ejército de Dacia embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GREEK_CITIES}					Un ejército de las polis griegas embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_NUMIDIA}					Un ejército de Numidia embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SCYTHIA}					Un ejército de Escitia embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SPAIN}					Un ejército de Hispania embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_THRACE}					Un ejército de Tracia embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ALEMANNI}				Un ejército de alamanes embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_EAST}				Un ejército del imperio de oriente embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_WEST}				Un ejército del imperio de occidente embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_EAST_REBELS}				Un ejército de rebeldes del imperio de oriente embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_WEST_REBELS}				Un ejército de rebeldes del imperio de occidente embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_FRANKS}					Un ejército de francos embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_HUNS}				Un ejército de hunos embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SARMATIANS}				Un ejército de sármatas embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SASSANIDS}				Un ejército de sasánidas embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SAXONS}					Un ejército de sajones embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_VANDALS}					Un ejército de vándalos embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GOTHS}				Un ejército de godos embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_WHITE_HUNS}				Un ejército de hunos blancos embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_OSTROGOTHS}				Un ejército de ostrogodos embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANO_BRITISH}			Un ejército de britanorromanos embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SLAVS}					Un ejército de eslavos embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SLAVE}					Un ejército de rebeldes embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_CELTS}					Un ejército de celtas embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BERBERS}					Un ejército de bereberes embosca a tus fuerzas.
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MOORS}					Un ejército de sarracenos embosca a tus fuerzas.


{EMT_VICTORY_ROMANS_JULII}		Han vencido los Julios.
{EMT_VICTORY_ROMANS_BRUTII}		Han vencido los Brutos.
{EMT_VICTORY_ROMANS_SCIPII}		Han vencido los Escipiones.
{EMT_VICTORY_ROMANS_SENATE}		El Senado y el Pueblo de Roma han vencido.
{EMT_VICTORY_MACEDON}			Han vencido los macedonios.
{EMT_VICTORY_EGYPT}			Han vencido los egipcios.
{EMT_VICTORY_SELEUCID}			Han vencido los seléucidas.
{EMT_VICTORY_CARTHAGE}		Han vencido los cartagineses.
