¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Romano
{SMT_STATE_ICON_CONSTRUCTION}					Construcción
{SMT_STATE_ICON_RECRUITMENT}					Reclutamiento
{SMT_STATE_ICON_DIPLOMATIC_OUTGOINGS}				Gastos diplomáticos
{SMT_STATE_ICON_CORRUPTION}					Corrupción
{SMT_TECH_TREE_THREAD_ALREADY_BUILT}				Se ha construido
{SMT_TECH_TREE_THREAD_AVAILABLE_TO_BUILD}			Está disponible la construcción de este elemento
{SMT_TECH_TREE_THREAD_NOT_AVAILABLE_TO_BUILD}			Todavía no es posible construir este elemento
{SMT_ESPIONAGE_IN_CARTHAGE_TITLE}				Espionaje en Cartago
{SMT_A_NEW_RELIGION_TITLE}					Una nueva religión
{SMT_ERUPTION_AT_ETNA_TITLE}					Erupción en el Etna
{SMT_PLAGUE_IN_MACEDONIA_TITLE}				Peste en Macedonia
{SMT_STOIC_PHILOSOPHY_TITLE}					Filosofía estoica
{SMT_HAND_PUMP_INVENTED_TITLE}					Invención de la bomba manual
{SMT_LIBRARIAN_AT_ALEXANDRIA_TITLE}				Bibliotecario en Alejandría
{SMT_GREAT_LIBRARY_COMPLETED_TITLE}				Terminada la gran biblioteca
{SMT_THROUGH_A_GLASS_CLEARLY_TITLE}				Transparente como el cristal
{SMT_ARCHIMEDES_SCREW_TITLE}					El tornillo de Arquímedes
{SMT_GREEK_LOGIC_TITLE}						Lógica griega
{SMT_STAR_CATALOGUE_TITLE}					Estrellas catalogadas
{SMT_PLAGUE_IN_ALEXANDRIA_TITLE}				Peste en Alejandría
{SMT_RITES_OF_BACCHUS_BANNED_TITLE}				Prohibición de los ritos de Baco
{SMT_EARTHQUAKE_IN_PONTUS_TITLE}				Terremoto en Ponto
{SMT_CONCRETE_INVENTED_TITLE}					Invención del hormigón
{SMT_ERUPTION_AT_VESUVIUS_TITLE}				Erupción en el Vesubio
{SMT_PHILOSOPHY_IS_FOPPISH_TITLE}				¡La filosofía es para petimetres!
{SMT_ASTRONOMY_ADVANCES_TITLE}				Avances en astronomía
{SMT_LEX_AEBUTIA_TITLE}						"Lex Aebutia"
{SMT_ROMAN_STOICISM_TITLE}					Estoicismo romano
{SMT_LEX_PAPIRA_TITLE}						"Lex Papira"
{SMT_PLAGUE_IN_ITALY_TITLE}					Peste en Italia
{SMT_VESTAL_VIRGIN_STRUCK_DOWN_TITLE}				Muerte de una virgen vestal
{SMT_A_NEW_MAN__GAIUS_MARIUS_TITLE}				Un nuevo hombre: Cayo Mario
{SMT_DE_RERUM_NATURA_TITLE}					"De rerum natura"
{SMT_PLAGUE_IN_ASIA_MINOR_TITLE}				Peste en Asia Menor
{SMT_LEX_POMPEIA_TITLE}						"Lex Pompeia"
{SMT_DE_MATERIA_MEDICA_TITLE}					"De materia medica"
{SMT_JULIAN_CALENDAR_TITLE}					Calendario juliano
{SMT_EARTHQUAKE_IN_IBERIA_TITLE}				Terremoto en Iberia
{SMT_THE_AENEID_TITLE}						La Eneida
{SMT_LEX_ADULTERIIS_COERCENDIS_TITLE}				"Lex Adulteriis Coercendis"
{SMT_TROUBLE_IN_JUDEA_TITLE}					Conflicto en Judea
{SMT_LEX_FUFIA_CANINIA_TITLE}					"Lex Fufia Caninia"
{SMT_ESPIONAGE_IN_CARTHAGE_BODY}				Los romanos niegan haber enviado espías a Cartago para robar los secretos del muy codiciado tinte púrpura. Apuntan a que la oposición de los cartagineses a compartir su descubrimiento con el mundo incita al espionaje. Los cartagineses han capturado a un par de desgraciados que confesaron tras ser sometidos a una mínima tortura. Ambos hombres han sido crucificados.
{SMT_A_NEW_RELIGION_BODY}					El rey Asoka de Mauryian ha enviado a un misionero a los reinos helenísticos para proclamar el nuevo estado de "iluminación" de Su Majestad, alcanzado gracias a las enseñanzas de "Buda". El misionero debe difundir tan dichosa conversión entre aquellos que viven en la ignorancia. Son muchos los que, en tierras griegas, se rascan la cabeza preguntándose qué significa eso...
{SMT_ERUPTION_AT_ETNA_BODY}					¡El dios Vulcano ha destruido la ciudad griega de Naxos provocando la erupción del monte Etna! Los muertos bajo la ardiente lava se cuentan por miles.
{SMT_PLAGUE_IN_MACEDONIA_BODY}				Una gran y terrible peste en Macedonia amenaza con extenderse hacia el sur rumbo a Grecia. Casi con total certeza ha sido causada por los celtas y otros bárbaros.
{SMT_STOIC_PHILOSOPHY_BODY}					Aristón de Quíos comienza a impartir sus enseñanzas sobre el estilo de vida estoico. El nombre de esta filosofía deriva del pórtico del ágora de Atenas (stoa poikilê). Fue allí donde los estoicos se reunieron por primera vez y expusieron su idea de que la envidia o la pasión surgen a raíz de un falso juicio. La persona que alcance la perfección moral e intelectual sabrá evitar esos sentimientos.
{SMT_HAND_PUMP_INVENTED_BODY}					Arquímedes ha inventado la primera bomba de agua del mundo, que permite que el agua suba rápida y fácilmente hasta el lugar necesario.
{SMT_LIBRARIAN_AT_ALEXANDRIA_BODY}				Eratóstenes se convierte en director de la biblioteca de Alejandría. Es un estudioso de la literatura y tiene cierta categoría como geógrafo. Entre sus logros figura el cálculo de la circunferencia terráquea con un considerable grado de precisión. También ha sido el primero en proponer el uso de latitud y longitud como sistema de posicionamiento global.
{SMT_GREAT_LIBRARY_COMPLETED_BODY}				La gran biblioteca de Alejandría, que llegará a alojar una colección de 800.000 libros, al fin está terminada. Seguramente sea el mayor centro cultural del mundo; las obras de Platón, Homero, Sócrates y Aristóteles pueblan sus estanterías junto a los trabajos de los mejores estudiosos babilónicos, judíos y egipcios.
{SMT_THROUGH_A_GLASS_CLEARLY_BODY}				Si bien los egipcios llevan muchos años fabricando cristal tintado, ahora los cartagineses han encontrado la forma de crear ¡cristal transparente! Las copas hechas con este nuevo cristal son altamente apreciadas a nivel mundial por la gente entendida y de buen gusto.
{SMT_ARCHIMEDES_SCREW_BODY}					Arquímedes ha inventado una ingeniosa bomba que emplea una espiral en el interior de una tubería para hacer subir el agua. Este artefacto permite desaguar las minas y regar de forma eficaz.
{SMT_GREEK_LOGIC_BODY}						Las teorías de Platón y Aristóteles se han combinado en un nuevo sistema de pensamiento denominado "lógica", una filosofía enfocada al estudio del razonamiento. Como herramienta de pensamiento racional, la lógica permite a los filósofos discutir y probar ideas con una minuciosidad desconocida hasta el momento.
{SMT_STAR_CATALOGUE_BODY}					Eratóstenes completa su catálogo de seiscientas setenta y cinco estrellas y utiliza una elegante técnica de medición por sombra para calcular el tamaño de la Tierra (y lo hace con bastante precisión).
{SMT_PLAGUE_IN_ALEXANDRIA_BODY}				La maldición de Set azota Alejandría; las muertes son incalculables. Los egipcios retoman la adoración de los antiguos dioses con la esperanza de que Isis les proteja de la epidemia; algo que, estaba claro, ¡los dioses griegos importados por la dinastía ptolemaica no habían sabido hacer!
{SMT_RITES_OF_BACCHUS_BANNED_BODY}				El Senado de Roma ha decidido que las borracheras y orgías de las bacanales han llegado demasiado lejos. La depravación y lujuria han conmocionado a los patricios. A partir de ahora, llevar a cabo los ritos de Baco tendrá como consecuencia el exilio y la pérdida de la ciudadanía romana.
{SMT_EARTHQUAKE_IN_PONTUS_BODY}				Ponto ha sufrido el azote de unos tremendos terremotos (seguramente una señal de desaprobación enviada por Poseidón) en los que ha fallecido mucha gente.
{SMT_CONCRETE_INVENTED_BODY}					El Porticus Aemilia, un mercado cercano al Tíber, es el primer edificio hecho de hormigón. Esta "piedra líquida" es una mezcla de cascotes, mortero, cenizas volcánicas y agua vertida en moldes de madera. Desde el Senado, hay quien mantiene que este nuevo material no es tan seguro como el mármol, así que se están emprendiendo acciones para prohibir su uso. La receta romana del hormigón es, en algunos aspectos, incluso mejor que la de uso común 2.000 años más tarde.
{SMT_ERUPTION_AT_VESUVIUS_BODY}				La ciudad de Herculano ha desaparecido bajo las cenizas del Vesubio, mientras que en la bahía, un potente maremoto ha causado enormes daños en Messina. Sin duda, es una señal de cólera enviada por Neptuno y Vulcano.
{SMT_PHILOSOPHY_IS_FOPPISH_BODY}				Tras la aprobación de la "Lex Fannia", Roma expulsa a los filósofos griegos. Queda prohibida la decadente y vil práctica griega conocida como "filosofía", en favor de ocupaciones más viriles y propias de los romanos que no requieran pensar tanto.
{SMT_ASTRONOMY_ADVANCES_BODY}				Hiparco de Nicea ha calculado la duración del año solar, catalogado mil ochenta estrellas y descrito la sucesión de los equinoccios. Parte de sus logros se los debe a su maravilloso invento, el astrolabio, que también tiene aplicaciones en navegación.
{SMT_LEX_AEBUTIA_BODY}						Este código organiza formalmente la práctica común de la ley en un sistema coherente. Hasta el momento, la ley romana no había establecido unas pautas comunes.
{SMT_ROMAN_STOICISM_BODY}					La visita a Roma de Panecio, destacado estoico griego, impresiona a la élite romana. Se adoptan sus ideas, básicamente por considerar que el estoicismo está en línea con el natural y correcto estilo de vida romano.
{SMT_LEX_PAPIRA_BODY}						En un intento por evitar la corrupción y la negligencia, esta nueva ley exige que la legislación se vote en secreto para evitar escándalos por votaciones amañadas.
{SMT_PLAGUE_IN_ITALY_BODY}					Por toda Italia, miles de víctimas han sucumbido a otra peste traída por esos infectos bárbaros. El Senado romano ha decretado que todas las ciudades queden cerradas durante cuarenta días, se mantengan hogueras ardiendo para purificar el aire y se lleve a cabo un adecuado calendario de sacrificios en los templos.
{SMT_VESTAL_VIRGIN_STRUCK_DOWN_BODY}				En Roma, la superstición gobierna los corazones y mentes de la gente común a raíz de un rayo que causó la muerte de la joven hija de un équite. Un análisis judicial ha determinado que tres de las vestales no eran castas, por lo que se las ha condenado a muerte. Además, los oráculos cibelinos han recomendado que, para apaciguar a los dioses, las parejas griegas y galas deban ser enterradas vivas. Hasta ahora parece haber funcionado.
{SMT_A_NEW_MAN__GAIUS_MARIUS_BODY}				Cayo Mario ha propuesto una serie de leyes que permiten a las clases bajas unirse a su reorganizado ejército romano. A cambio de muchos años de servicio militar, todo soldado recibirá tierras a modo de pensión. Esta reforma se ha aprobado en la asamblea popular sin el visto bueno del Senado. ¡Está claro que este interés popular (y populista) no le traerá nada bueno a Mario a largo plazo! Puedes consultar los detalles en el pergamino de reclutamiento.
{SMT_DE_RERUM_NATURA_BODY}					Hasta ahora, Tito Lucrecio Caro ha sido conocido como poeta y filósofo, pero en el libro "De rerum natura" o "Sobre la naturaleza del universo" se nos muestra como un maestro del pensamiento epicúreo. Además, afirma que la materia se compone de partículas minúsculas llamadas "átomos".
{SMT_PLAGUE_IN_ASIA_MINOR_BODY}				La peste ha asolado las ciudades y pueblos del Asia Menor, dejando muchos muertos a su paso. Los prudentes habitantes de las ciudades griegas, italianas y egipcias ya han cerrado sus murallas y puertos a quien venga de la región.
{SMT_LEX_POMPEIA_BODY}						Esta nueva ley concede derechos a ciertos extranjeros, permitiéndoles casarse y comerciar con ciudadanos romanos. ¡Incluso les da la oportunidad de obtener la ciudadanía romana!
{SMT_DE_MATERIA_MEDICA_BODY}					Pedáneo Dioscórides de Cilicia ha publicado su gran obra, en la que cataloga todas las plantas con propiedades curativas que conoce. También ha listado todas las venenosas así como sus antídotos, lo que convierte este libro en el mayor tratado médico hasta la fecha.
{SMT_JULIAN_CALENDAR_BODY}					Tras considerarlo detenidamente, se ha aprobado la aplicación de un nuevo calendario en los territorios romanos. El calendario antiguo ha quedado irreparablemente desajustado con las estaciones. Este nuevo reajusta el año correctamente y, con gran ingenio, añade un día extra al calendario cada cuatro años para mantenerse en sincronía con los años lunares y solares.
{SMT_EARTHQUAKE_IN_IBERIA_BODY}				La ciudad ibérica de Sagunto ha sido golpeada por un gran terremoto que, sin duda, ha sido obra de Neptuno. Ha habido muchos muertos y el templo se ha derrumbado.
{SMT_THE_AENEID_BODY}						Virgilio ha terminado su narración épica, al estilo de Homero, de la historia romana. Es una obra de gran talento, muy apreciada por los romanos por su precisión poética.
{SMT_LEX_ADULTERIIS_COERCENDIS_BODY}				El Senado romano ha aprobado una nueva ley que convierte la infidelidad marital en crimen público. A partir de ahora, cometer adulterio conlleva una condena a muerte o, en algunos casos, que los amantes sean desterrados de Roma.
{SMT_TROUBLE_IN_JUDEA_BODY}					El gobernante protegido de Judea parece haber enloquecido levemente. Ha ordenado la matanza de todos los recién nacidos de sus territorios. Esta inquietante orden se promulgó tras recibir la visita de tres filósofos zoroastristas que le provocaron muchas noches de insomnio.
{SMT_LEX_FUFIA_CANINIA_BODY}					El Senado romano ha aprobado una ley para ocuparse del problema que supone que los esclavos queden libres por voluntad testamentaria de sus amos a la muerte de éstos. La liberación en masa ya no está permitida; un testamento únicamente puede declarar libre a una fracción de los esclavos poseídos.
{SMT_THE_SENATE}						El Senado
{SMT_SENATE_POLICY}						Política del Senado
{SMT_SENATE_FLOOR}						Sala del Senado
{SMT_SENATE_NO_MISSIONS}					En este momento no hay misiones del Senado
{SMT_SENATE_THE_SENATE}					El Senado
{SMT_SENATE_THE_PEOPLE}					El pueblo
{SMT_SENATE_STANDING}						Popularidad actual
{SMT_SENATE_POLICY_AT_WAR_STANCE_AT_WAR}			El Senado comprueba con agrado que su política y la tuya coinciden a la perfección en lo relativo a estas gentes. Son enemigas de Roma y, como tales, deben ser aplastadas bajo el metal de las botas de las legiones. 
{SMT_SENATE_POLICY_HARASS_STANCE_AT_WAR}			Tras considerarlo tan cuidadosamente como es debido, el Senado ha decidido que estas gentes merecen ser tratadas con cierto grado de hostilidad. Si bien no se llega al extremo de declararles la guerra, el Senado tiene claro que tampoco hay motivo para darles un trato que pudiera interpretarse como justo o ecuánime. 
{SMT_SENATE_POLICY_NEUTRAL_STANCE_AT_WAR}			El Senado, tras las debidas deliberaciones, ha concluido que tu actitud belicosa ante esta gente es, en conjunto, contraria a los intereses de la república. Una paz formal, más que una cálida amistad, sería el estado de relaciones ideal entre los buenos romanos y este colectivo. 
{SMT_SENATE_POLICY_FRIENDLY_STANCE_AT_WAR}			El Senado declara que tu guerra contra esta gente no forma parte de los intereses de Roma. Sería deseable poner fin al conflicto y reconciliarse.
{SMT_SENATE_POLICY_ASSIST_STANCE_AT_WAR}			¿Para qué sirve una guerra? Absolutamente para nada, según ha decidido el Senado. Los senadores están descontentos y declaran que tu guerra contra esta gente choca frontalmente con los principales intereses de Roma. Se exige una reconciliación inmediata. 
{SMT_SENATE_POLICY_AT_WAR_STANCE_NEUTRAL}			El Senado y el Pueblo coinciden en considerar a esta facción como un pernicioso enemigo para Roma. Su sola existencia es una afrenta a la dignidad romana; la guerra es la única y más conveniente línea de actuación. 
{SMT_SENATE_POLICY_HARASS_STANCE_NEUTRAL}			El Senado, tras las debidas deliberaciones, ha decidido que esta gente no debe ser considerada amiga de Roma. Sus exigencias sobre territorios, libertad e independencia deben ser rebatidas siempre que surja la ocasión. 
{SMT_SENATE_POLICY_NEUTRAL_STANCE_NEUTRAL}			Tras deliberar, el Senado ha concluido que el destino de esta gente no es algo que le preocupe mucho, ni para bien ni para mal. Dadas las circunstancias, tu neutralidad se puede considerar vagamente apropiada, pero ningún senador está particularmente molesto en este momento. 
{SMT_SENATE_POLICY_FRIENDLY_STANCE_NEUTRAL}			Los senadores ven con buenos ojos que no tengas en mente entrar en guerra con esta gente. Sin embargo, quieren dejarte claro que, por el bien del Senado y el Pueblo de Roma, deberían mantenerse unas relaciones diplomáticas amistosas. 
{SMT_SENATE_POLICY_ASSIST_STANCE_NEUTRAL}			El Senado y el Pueblo de Roma consideran que mejorar las relaciones con estas gentes favorecería a los intereses de la república. Si bien tu postura respecto a ellas es digna de admiración, no existe relación que no pueda mejorarse. 
{SMT_SENATE_POLICY_AT_WAR_STANCE_ALLIED}			El Senado está firmemente convencido de que estas gentes son enemigas de Roma. Cualquier política dirigida a ellas debería trazarse con la espada, no con una ramita de olivo. Hacer tratos con ellas es buscar el desastre de la república y la desaprobación del Senado a partes iguales. Con esta gente, la paz no es un método válido. 
{SMT_SENATE_POLICY_HARASS_STANCE_ALLIED}			El Senado y el Pueblo de Roma han concluido que estas gentes deberían ser tratadas con desprecio, no como iguales. Sus falsas reivindicaciones de integridad territorial, independencia y vida y libertad al margen de Roma, deberían ser rebatidas y rechazadas enérgicamente. "Exigencias", y no "diplomacia", debería ser la consigna.
{SMT_SENATE_POLICY_NEUTRAL_STANCE_ALLIED}			El Senado ha decidido que una estrecha relación diplomática con esta gente no es necesariamente de interés para Roma, vista a la luz de las muchas obligaciones de la república. Todas las alianzas son buenas, pero no siempre son convenientes. 
{SMT_SENATE_POLICY_FRIENDLY_STANCE_ALLIED}			El Senado toma nota de tu relación amistosa con esta gente y desea que mantengas esta política, sabedor de que tus actuales gestos pacíficos están al servicio de los principales intereses de Roma. 
{SMT_SENATE_POLICY_ASSIST_STANCE_ALLIED}			El Senado y el Pueblo de Roma comprueban con agrado que tu alianza y sus políticas persiguen los mismos objetivos. Estas gentes son amigas y merecen cualquier tipo de ayuda. 
{SMT_SENATE_STANDING_RANKING_0}				En el Senado no le gustas a nadie. Si te imputasen cualquier acto criminal o de traición, todos creerían la acusación. Peor todavía, estarían convencidos de que en realidad has hecho algo mucho peor pero has logrado ocultarlo. 
{SMT_SENATE_STANDING_RANKING_1}				Los miembros del Senado se comportan como si no te conociesen cuando te cruzas con ellos por la calle. Para las esposas de los senadores es como si no existieses. Los esclavos de los senadores cruzan la calle para evitar pasar cerca de ti. Eres impopular y nada apreciado. 
{SMT_SENATE_STANDING_RANKING_2}				Son muchos los senadores que alaban abiertamente a tus antepasados, a menudo formulando el deseo de que te unas a ellos lo antes posible. 
{SMT_SENATE_STANDING_RANKING_3}				Tu popularidad es tal que los senadores se sienten incómodos si los ven en público contigo. Pero no les importa disfrutar de tu vino y compañía en privado. 
{SMT_SENATE_STANDING_RANKING_4}				Cuando el Senado se digna tenerte en cuenta, analiza tus logros con estricta objetividad. Tu popularidad, o más bien tu falta de ella, no inclina a los nobles senadores en uno u otro sentido. 
{SMT_SENATE_STANDING_RANKING_5}				Una pequeña mayoría del Senado reconoce tu grandeza, pero del resto, casi todos sienten indiferencia por tu persona. Afortunadamente, ya rara vez despiertas la hostilidad abierta de los senadores. 
{SMT_SENATE_STANDING_RANKING_6}				La mayoría del Senado tiene buena opinión de tus gestas, pero algunos senadores se preguntan en voz alta si tus acciones no estarán más motivadas por la búsqueda de tu gloria personal que por la grandeza de Roma. 
{SMT_SENATE_STANDING_RANKING_7}				Los pocos, inseguros y, para ser francos, tristemente desquiciados senadores que se sienten amenazados por la popularidad ajena, te consideran ahora como uno de sus principales problemas. Envidian tu encanto y tus logros. 
{SMT_SENATE_STANDING_RANKING_8}				El Senado te tiene en la más alta consideración. Se discute si se te debería declarar padre de la república o, simplemente... ¡entregarte las llaves de los alojamientos de las vírgenes vestales! 
{SMT_SENATE_STANDING_RANKING_9}				El Senado te considera la reencarnación de Rómulo, un auténtico salvador de la república y el principal defensor de Roma. Tu nombre es sinónimo de virtud, dignidad y estilo romano. 
{SMT_SENATE_POPULAR_SUPPORT_0}				Eres tan impopular que los plebeyos ni siquiera se molestan en proferir insultos a tu paso. Una cabeza de pez putrefacta inspira más afecto y respeto entre la población que tú. 
{SMT_SENATE_POPULAR_SUPPORT_1}				Los plebeyos te odian. Es más, odian a todos tus amigos. Y a sus amigos. Y a sus mascotas, esclavos y conocidos. Así de impopular eres. 
{SMT_SENATE_POPULAR_SUPPORT_2}				Tu popularidad entre las clases más bajas es decepcionante como mínimo. Cuando un plebeyo te saluda por tu nombre, la segunda palabra suele ser "lárgate". 
{SMT_SENATE_POPULAR_SUPPORT_3}				Tu popularidad entre la plebe no es la que debiera, pero al menos no te apedrean ni insultan. La mayoría de las veces ni te reconocen. 
{SMT_SENATE_POPULAR_SUPPORT_4}				Tu situación entre los plebeyos podría ser mejor, pero también podría ser peor. Eres lo bastante famoso para que te conozcan, pero no lo suficiente para que te amen. 
{SMT_SENATE_POPULAR_SUPPORT_5}				Tu situación entre los plebeyos es satisfactoria en el mejor sentido. Se te tiene por un buen romano, aunque no eres muy popular. 
{SMT_SENATE_POPULAR_SUPPORT_6}				Tu popularidad entre las clases más bajas es sólida. Se te tiene por un buen hombre y, lo que es más importante, por un buen romano. 
{SMT_SENATE_POPULAR_SUPPORT_7}				La plebe tiene una buena opinión de ti; muy buena, de hecho. Se te considera un baluarte ante el poder dictatorial del Senado y un campeón de Roma. 
{SMT_SENATE_POPULAR_SUPPORT_8}				Eres enormemente popular entre las clases plebeyas, y vitoreado como héroe de Roma cada vez que entras en la ciudad. Te ofrecen tantas bebidas que podrías navegar por ellas en un trirreme.
{SMT_SENATE_POPULAR_SUPPORT_9}				¡Los plebeyos te tienen por la reencarnación de Rómulo! Incluso tus escasos enemigos solo tienen palabras de elogio para ti cuando están en público. No osan disgustar a la turba. 
{SMT_TURNS_UNTIL_SURRENDER}					Bajo asedio. Turnos hasta la rendición:
{SMT_NO_ASSASSINATION_TARGETS}				Objetivos de asesinato no válidos
{SMT_NO_SABOTAGE_TARGETS}					No hay edificios que sabotear
{SMT_MISSION_TARGET}						Selecciona el objetivo de la misión
{SMT_SIEGE_DURATION_WHILST_UNDER_SIEGE}			Se espera que el enclave pueda resistir durante otros %d turnos
{SMT_SIEGE_DURATION_WHILST_NOT_UNDER_SIEGE}			En caso de asedio, este enclave puede resistir durante %d turnos
{SMT_GARRISON_BREAKDOWN}					Desglose de la guarnición
{SMT_NAVY_BREAKDOWN}						Desglose de la armada
{SMT_INFANTRY}							Infantería
{SMT_CAVALRY}							Caballería
{SMT_ARTILLERY}							Artillería
{SMT_SHIPS}							Naves
{SMT_ARMY_FULL}						Este ejército no puede albergar más unidades
{SMT_NAVY_FULL}						Esta armada no puede albergar más unidades
{SMT_NO_GARRISON_COMMANDER}					No está presente ningún comandante de la guarnición
{SMT_SAILORS}							Marineros
{SMT_ENTERTAINMENT_TRANSACTIONS}				Entretenimiento
{SMT_CAPABILITY_POPULATION_GROWTH_BONUS}		Modificador del crecimiento demográfico
{SMT_CAPABILITY_POPULATION_LOYALTY_BONUS}		Modificador de la lealtad de la población
{SMT_CAPABILITY_POPULATION_HEALTH_BONUS}		Modificador de la salud de la población
{SMT_CAPABILITY_TRADE_BASE_INCOME_BONUS}		Modificador de los ingresos por comercio
{SMT_CAPABILITY_TRADE_LEVEL_BONUS}			Modificador del nivel de comercio
{SMT_CAPABILITY_TRADE_FLEET}				Flota comercial
{SMT_CAPABILITY_TAXABLE_INCOME_BONUS}		Modificador de ingresos gravables
{SMT_CAPABILITY_MINE_RESOURCE}			Minería
{SMT_CAPABILITY_FARMING_LEVEL}			Agricultura
{SMT_CAPABILITY_ROAD_LEVEL}				Carreteras
{SMT_CAPABILITY_GATE_STRENGTH}			Fuerza del portón
{SMT_CAPABILITY_GATE_DEFENSES}			Defensas del portón
{SMT_CAPABILITY_TOWER_LEVEL}				Defensas de la torre
{SMT_CAPABILITY_ARMOUR}					Armadura
{SMT_CAPABILITY_STAGE_GAMES}				Celebrar juegos
{SMT_CAPABILITY_STAGE_RACES}				Celebrar carreras
{SMT_CAPABILITY_POPULATION_FIRE_RISK_BONUS}	Modificador del riesgo de incendio
{SMT_CAPABILITY_WEAPON_SIMPLE}			Armas simples
{SMT_CAPABILITY_WEAPON_MISSILE}			Armas de proyectil
{SMT_CAPABILITY_WEAPON_BLADED}			Armas de filo
{SMT_CAPABILITY_WEAPON_SIEGE}				Armas de asedio
{SMT_CAPABILITY_WEAPON_OTHER}				Armas especiales
{SMT_CAPABILITY_BODYGUARD}				Guardaespaldas			
{SMT_CAPABILITY_RECRUITS_MORALE_BONUS}		Modificador de la moral del recluta
{SMT_CAPABILITY_RECRUITS_EXPERIENCE_BONUS}	Modificador de la experiencia del recluta
{SMT_CAPABILITY_HAPPINESS_BONUS}			Modificador de felicidad
{SMT_CAPABILITY_LAW_BONUS}				Modificador de la ley
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_MILITARY}	Reducción del coste (construcción militar)
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_RELIGIOUS}	Reducción del coste (construcción religiosa)
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_DEFENSIVE}	Reducción del coste (construcción defensiva)
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_OTHER}		Reducción del coste (construcción civil)
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_MILITARY}	Reducción del tiempo (construcción militar)
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_RELIGIOUS}	Reducción del tiempo (construcción religiosa)
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_DEFENSIVE}	Reducción del tiempo (construcción defensiva)
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_OTHER}		Reducción del tiempo (construcción civil)
{SMT_CAPS_LOC_TRAINS_EXPERIENCE}				Experiencia
{SMT_CAPS_LOC_TRAINS}						Instruye
{SMT_CAPS_LOC_TRAINS_BONUS}					Bonificación de instrucción
{SMT_CAPS_LOC_RECRUITS_LEVEL}				Nivel
{SMT_CAPS_LOC_RECRUITS}						Recluta
{SMT_CAPS_LOC_RECRUITS_BONUS}					Bonificación de recluta
{SMT_CAPS_LOC_PROVIDES}						Proporciona
{SMT_CAPS_LOC_PROVIDES_BONUS}					Proporciona bonificación
{SMT_CAPS_LOC_REQUIRES}						Requiere
{SMT_CAPS_LOC_CONDITION_NOT}						no
{SMT_CAPS_LOC_CONDITION_AND}						y
{SMT_CAPS_LOC_CONDITION_OR}							o
{SMT_CAPS_LOC_CONDITION_BUILDING_PRESENT_MIN_LEVEL}	o superior
{SMT_CAPS_LOC_CONDITION_CAPABILITY_VALUE}			o superior
¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 30/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************
{SMT_MISSION_BUILD_ARMY_TITLE}						Reforzar región
{SMT_MISSION_BUILD_ARMY_PROPOSAL}					El Senado cree que esta región tiene pocos hombres y es por tanto vulnerable. Solicitan que aumentes tus fuerzas aquí al menos en 4 unidades antes de 18 meses.
{SMT_MISSION_BUILD_ARMY_EXPIRY}						La pérdida de esta región es un duro golpe para Roma. Si hubieras reaccionado más rápido no habría ocurrido.
{SMT_MISSION_BUILD_ARMY_FAILURE}					El Senado opina que no tener en cuenta su consejo es peligroso. Si pierdes esta región a causa de tu negligencia puede tener consecuencias.
{SMT_MISSION_BUILD_ARMY_SUCCESS}					El Senado sabe que has tenido en cuenta su consejo y has reforzado la región. Espera que eso mitigue la amenaza.
{SMT_MISSION_ASSIST_FACTION_TITLE}					Reforzar aliado
{SMT_MISSION_ASSIST_FACTION_PROPOSAL}					El Senado te pide que mandes un ejército de al menos 4 unidades a esta región y transfieras su control a las fuerzas aliadas del lugar.
{SMT_MISSION_ASSIST_FACTION_EXPIRY}					La pérdida de esta región es un duro golpe para Roma. Si hubieras reaccionado más rápido no habría ocurrido.
{SMT_MISSION_ASSIST_FACTION_FAILURE}					El Senado opina que no tener en cuenta su consejo es peligroso. Si pierdes esta región a causa de tu negligencia puede tener consecuencias.
{SMT_MISSION_ASSIST_FACTION_SUCCESS}					El Senado sabe que has tenido en cuenta su consejo y has reforzado a nuestros aliados en la región. Por favor deja tu ejército bajo su mando al menos 2 años.
{SMT_MISSION_LEAVE_REGION_TITLE}					Abandonar región
{SMT_MISSION_LEAVE_REGION_PROPOSAL}					El Senado te pide que retires este ejército. Está avanzando a las tierras de un amigo de Roma. Si solo quieres pasar deberías obtener primero un tratado de acceso militar. Si planeas atacar, deberías cancelar tus planes de inmediato.
{SMT_MISSION_LEAVE_REGION_EXPIRY}					Tu flagrante omisión de la política del Senado es molesta y peligrosa. Roma confía en las grandes familias para apoyar sus políticas. Si cada familia hiciese su propia política exterior sería un caos.
