¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ Alemannen, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Das Haus der Julier
{EMT_EMPIRE_EAST_FACTION_HEIR}		Römischer Erbe (Östliches Reich)
{EMT_EMPIRE_WEST_FACTION_HEIR}		Römischer Erbe  (Westliches Reich)
{EMT_EMPIRE_EAST_REBELS_FACTION_HEIR}		Römischer Erbe  (Östliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_FACTION_HEIR}		Römischer Erbe  (Westliches Reich-Rebellen)
{EMT_FRANKS_FACTION_HEIR}			Fränkischer Erbe
{EMT_HUNS_FACTION_HEIR}		Hunnischer Erbe
{EMT_SARMATIANS_FACTION_HEIR}		Sarmatischer Erbe
{EMT_SASSANIDS_FACTION_HEIR}		Sassanidischer Erbe
{EMT_SAXONS_FACTION_HEIR}			Sächsischer Erbe
{EMT_VANDALS_FACTION_HEIR}			Wandalischer Erbe
{EMT_GOTHS_FACTION_HEIR}		Gotischer Erbe
{EMT_WHITE_HUNS_FACTION_HEIR}		Weiß-hunnischer Erbe
{EMT_OSTROGOTHS_FACTION_HEIR}		Ostgotischer Erbe
{EMT_ROMANO_BRITISH_FACTION_HEIR}	Romano-britischer Erbe
{EMT_SLAVS_FACTION_HEIR}			Slawischer Erbe
{EMT_SLAVE_FACTION_HEIR}					Rebellen-Erbe
{EMT_CELTS_FACTION_HEIR}					Keltischer Erbe
{EMT_BERBERS_FACTION_HEIR}					Berberischer Erbe
{EMT_MOORS_FACTION_HEIR}					Maurischer Erbe


{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_JULII}					Eure Streitmächte greifen eine Armee der Julier an
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_BRUTII}					Eure Streitmächte greifen eine Armee der Bruti an
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_SCIPII}					Eure Streitmächte greifen eine Armee der Scipionen an
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_SENATE}					Eure Streitmächte greifen eine Armee des Senats an
{EMT_YOUR_FORCES_ATTACK_ARMY_MACEDON}					Eure Streitmächte greifen eine Armee der Makedonier an
{EMT_YOUR_FORCES_ATTACK_ARMY_EGYPT}					Eure Streitmächte greifen eine Armee der Ägypter an
{EMT_YOUR_FORCES_ATTACK_ARMY_SELEUCID}					Eure Streitmächte greifen eine Armee der Seleukiden an
{EMT_YOUR_FORCES_ATTACK_ARMY_CARTHAGE}					Eure Streitmächte greifen eine Armee der Karthager an
{EMT_YOUR_FORCES_ATTACK_ARMY_PARTHIA}					Eure Streitmächte greifen eine Armee der Parther an
{EMT_YOUR_FORCES_ATTACK_ARMY_PONTUS}					Eure Streitmächte greifen eine Armee der Pontier an
{EMT_YOUR_FORCES_ATTACK_ARMY_GAULS}					Eure Streitmächte greifen eine Armee der Gallier an
{EMT_YOUR_FORCES_ATTACK_ARMY_GERMANS}					Eure Streitmächte greifen eine Armee der Germanen an
{EMT_YOUR_FORCES_ATTACK_ARMY_BRITONS}					Eure Streitmächte greifen eine Armee der Britannier an
{EMT_YOUR_FORCES_ATTACK_ARMY_ARMENIA}					Eure Streitmächte greifen eine Armee der Armenier an
{EMT_YOUR_FORCES_ATTACK_ARMY_DACIA}					Eure Streitmächte greifen eine Armee der Dakier an
{EMT_YOUR_FORCES_ATTACK_ARMY_GREEK_CITIES}					Eure Streitmächte greifen eine Armee der griechischen Städte an
{EMT_YOUR_FORCES_ATTACK_ARMY_NUMIDIA}					Eure Streitmächte greifen eine Armee der Numidier an
{EMT_YOUR_FORCES_ATTACK_ARMY_SCYTHIA}					Eure Streitmächte greifen eine Armee der Skythen an
{EMT_YOUR_FORCES_ATTACK_ARMY_SPAIN}					Eure Streitmächte greifen eine Armee der Spanier an
{EMT_YOUR_FORCES_ATTACK_ARMY_THRACE}					Eure Streitmächte greifen eine Armee der Thraker an
{EMT_YOUR_FORCES_ATTACK_ARMY_ALEMANNI}						Eure Streitmächte greifen eine Armee der Alemannen an
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_EAST}					Eure Streitmächte greifen eine Armee der Römer (Östliches Reich) an
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_WEST}					Eure Streitmächte greifen eine Armee der Römer (Westliches Reich) an
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_EAST_REBELS}				Eure Streitmächte greifen eine Armee der Römer (Östliches Reich-Rebellen) an
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_WEST_REBELS}				Eure Streitmächte greifen eine Armee der Römer (Westliches Reich-Rebellen) an
{EMT_YOUR_FORCES_ATTACK_ARMY_FRANKS}							Eure Streitmächte greifen eine Armee der Franken an
{EMT_YOUR_FORCES_ATTACK_ARMY_HUNS}						Eure Streitmächte greifen eine Armee der Hunnen an
{EMT_YOUR_FORCES_ATTACK_ARMY_SARMATIANS}						Eure Streitmächte greifen eine Armee der Sarmaten an
{EMT_YOUR_FORCES_ATTACK_ARMY_SASSANIDS}						Eure Streitmächte greifen eine Armee der Sassaniden an
{EMT_YOUR_FORCES_ATTACK_ARMY_SAXONS}							Eure Streitmächte greifen eine Armee der Sachsen an
{EMT_YOUR_FORCES_ATTACK_ARMY_VANDALS}						Eure Streitmächte greifen eine Armee der Wandalen an
{EMT_YOUR_FORCES_ATTACK_ARMY_GOTHS}						Eure Streitmächte greifen eine Armee der Gothen an
{EMT_YOUR_FORCES_ATTACK_ARMY_WHITE_HUNS}						Eure Streitmächte greifen eine Armee der Weißen Hunnen an
{EMT_YOUR_FORCES_ATTACK_ARMY_OSTROGOTHS}						Eure Streitmächte greifen eine Armee der Ostgothen an
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANO_BRITISH}					Eure Streitmächte greifen eine Armee der Romano-Briten an
{EMT_YOUR_FORCES_ATTACK_ARMY_SLAVS}							Eure Streitmächte greifen eine Armee der Slawen an
{EMT_YOUR_FORCES_ATTACK_ARMY_SLAVE}					Eure Streitmächte greifen eine Armee der Rebellen an
{EMT_YOUR_FORCES_ATTACK_ARMY_CELTS}						Eure Streitmächte greifen eine Armee der Kelten an
{EMT_YOUR_FORCES_ATTACK_ARMY_BERBERS}					Eure Streitmächte greifen eine Armee der Berber an
{EMT_YOUR_FORCES_ATTACK_ARMY_MOORS}						Eure Streitmächte greifen eine Armee der Mauren an



{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_JULII}					Eure Streitmächte greifen einen Flottenverband der Julier an
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_BRUTII}					Eure Streitmächte greifen einen Flottenverband der Bruti 
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_SCIPII}					Eure Streitmächte greifen einen Flottenverband der Scipionen an
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_SENATE}					Eure Streitmächte greifen einen Flottenverband des Senats an
{EMT_YOUR_FORCES_ATTACK_NAVY_MACEDON}					Eure Streitmächte greifen einen Flottenverband der Makedonier an
{EMT_YOUR_FORCES_ATTACK_NAVY_EGYPT}					Eure Streitmächte greifen einen Flottenverband der Ägypter an
{EMT_YOUR_FORCES_ATTACK_NAVY_SELEUCID}					Eure Streitmächte greifen einen Flottenverband der Seleukiden an
{EMT_YOUR_FORCES_ATTACK_NAVY_CARTHAGE}					Eure Streitmächte greifen einen Flottenverband der Karthager an
{EMT_YOUR_FORCES_ATTACK_NAVY_PARTHIA}					Eure Streitmächte greifen einen Flottenverband der Parther an
{EMT_YOUR_FORCES_ATTACK_NAVY_PONTUS}					Eure Streitmächte greifen einen Flottenverband der Pontier an
{EMT_YOUR_FORCES_ATTACK_NAVY_GAULS}					Eure Streitmächte greifen einen Flottenverband der Gallier an
{EMT_YOUR_FORCES_ATTACK_NAVY_GERMANS}					Eure Streitmächte greifen einen Flottenverband der Germanen an
{EMT_YOUR_FORCES_ATTACK_NAVY_BRITONS}					Eure Streitmächte greifen einen Flottenverband der Britannier an
{EMT_YOUR_FORCES_ATTACK_NAVY_ARMENIA}					Eure Streitmächte greifen einen Flottenverband der Armenier an
{EMT_YOUR_FORCES_ATTACK_NAVY_DACIA}					Eure Streitmächte greifen einen Flottenverband der Dakier an
{EMT_YOUR_FORCES_ATTACK_NAVY_GREEK_CITIES}					Eure Streitmächte greifen einen Flottenverband der griechischen Städte an
{EMT_YOUR_FORCES_ATTACK_NAVY_NUMIDIA}					Eure Streitmächte greifen einen Flottenverband der Numidier an
{EMT_YOUR_FORCES_ATTACK_NAVY_SCYTHIA}					Eure Streitmächte greifen einen Flottenverband der Skythen an
{EMT_YOUR_FORCES_ATTACK_NAVY_SPAIN}					Eure Streitmächte greifen einen Flottenverband der Spanier an
{EMT_YOUR_FORCES_ATTACK_NAVY_THRACE}					Eure Streitmächte greifen einen Flottenverband der Thraker an
{EMT_YOUR_FORCES_ATTACK_NAVY_ALEMANNI}				Eure Streitmächte greifen einen Flottenverband der Alemannen an
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_EAST}			Eure Streitmächte greifen einen Flottenverband der Römer (Östliches Reich) an
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_WEST}			Eure Streitmächte greifen einen Flottenverband der Römer (Westliches Reich) an
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_EAST_REBELS}			Eure Streitmächte greifen einen Flottenverband der Römer (Östliches Reich-Rebellen) an
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_WEST_REBELS}			Eure Streitmächte greifen einen Flottenverband der Römer (Westliches Reich-Rebellen) an
{EMT_YOUR_FORCES_ATTACK_NAVY_FRANKS}				Eure Streitmächte greifen einen Flottenverband der Franken an
{EMT_YOUR_FORCES_ATTACK_NAVY_HUNS}			Eure Streitmächte greifen einen Flottenverband der Hunnen an
{EMT_YOUR_FORCES_ATTACK_NAVY_SARMATIANS}			Eure Streitmächte greifen einen Flottenverband der Sarmaten an
{EMT_YOUR_FORCES_ATTACK_NAVY_SASSANIDS}				Eure Streitmächte greifen einen Flottenverband der Sassaniden an
{EMT_YOUR_FORCES_ATTACK_NAVY_SAXONS}				Eure Streitmächte greifen einen Flottenverband der Sachsen an
{EMT_YOUR_FORCES_ATTACK_NAVY_VANDALS}				Eure Streitmächte greifen einen Flottenverband der Wandalen an
{EMT_YOUR_FORCES_ATTACK_NAVY_GOTHS}				Eure Streitmächte greifen einen Flottenverband der Gothen an
{EMT_YOUR_FORCES_ATTACK_NAVY_WHITE_HUNS}			Eure Streitmächte greifen einen Flottenverband der Weißen Hunnen an
{EMT_YOUR_FORCES_ATTACK_NAVY_OSTROGOTHS}			Eure Streitmächte greifen einen Flottenverband der Ostgothen an
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANO_BRITISH}		Eure Streitmächte greifen einen Flottenverband der Romano-Briten an
{EMT_YOUR_FORCES_ATTACK_NAVY_SLAVS}					Eure Streitmächte greifen einen Flottenverband der Slawen an
{EMT_YOUR_FORCES_ATTACK_NAVY_SLAVE}					Eure Streitmächte greifen einen Flottenverband der Rebellen an
{EMT_YOUR_FORCES_ATTACK_NAVY_CELTS}					Eure Streitmächte greifen einen Flottenverband der Kelten an
{EMT_YOUR_FORCES_ATTACK_NAVY_BERBERS}					Eure Streitmächte greifen einen Flottenverband der Berber an
{EMT_YOUR_FORCES_ATTACK_NAVY_MOORS}					Eure Streitmächte greifen einen Flottenverband der Mauren an

{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_JULII}					Eure Streitmächte locken eine Armee der Julier in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_BRUTII}					Eure Streitmächte locken eine Armee der Bruti in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_SCIPII}					Eure Streitmächte locken eine Armee der Scipionen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_SENATE}					Eure Streitmächte locken eine Armee des Senats in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_MACEDON}					Eure Streitmächte locken eine Armee der Makedonier in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_EGYPT}					Eure Streitmächte locken eine Armee der Ägypter in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_SELEUCID}					Eure Streitmächte locken eine Armee der Seleukiden in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_CARTHAGE}					Eure Streitmächte locken eine Armee der Karthager in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_PARTHIA}					Eure Streitmächte locken eine Armee der Parther in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_PONTUS}					Eure Streitmächte locken eine Armee der Pontier in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_GAULS}					Eure Streitmächte locken eine Armee der Gallier in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_GERMANS}					Eure Streitmächte locken eine Armee der Germanen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_BRITONS}					Eure Streitmächte locken eine Armee der Britannier in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_ARMENIA}					Eure Streitmächte locken eine Armee der Armenier in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_DACIA}					Eure Streitmächte locken eine Armee der Dakier in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_GREEK_CITIES}					Eure Streitmächte locken eine Armee der griechischen Städte in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_NUMIDIA}					Eure Streitmächte locken eine Armee der Numidier in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_SCYTHIA}					Eure Streitmächte locken eine Armee der Skythen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_SPAIN}					Eure Streitmächte locken eine Armee der Spanier in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_THRACE}					Eure Streitmächte locken eine Armee der Thraker in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_ALEMANNI}				Eure Streitmächte locken eine Armee der Alemannen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_EAST}			Eure Streitmächte locken eine Armee der Römer (Östliches Reich) in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_WEST}			Eure Streitmächte locken eine Armee der Römer (Westliches Reich) in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_EAST_REBELS}			Eure Streitmächte locken eine Armee der Römer (Östliches Reich-Rebellen) in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_WEST_REBELS}			Eure Streitmächte locken eine Armee der Römer (Westliches Reich-Rebellen) in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_FRANKS}				Eure Streitmächte locken eine Armee der Franken in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_HUNS}			Eure Streitmächte locken eine Armee der Hunnen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_SARMATIANS}			Eure Streitmächte locken eine Armee der Sarmaten in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_SASSANIDS}				Eure Streitmächte locken eine Armee der Sassaniden in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_SAXONS}				Eure Streitmächte locken eine Armee der Sachsen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_VANDALS}				Eure Streitmächte locken eine Armee der Wandalen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_GOTHS}				Eure Streitmächte locken eine Armee der Gothen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_WHITE_HUNS}			Eure Streitmächte locken eine Armee der Weißen Hunnen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_OSTROGOTHS}			Eure Streitmächte locken eine Armee der Ostgothen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANO_BRITISH}		Eure Streitmächte locken eine Armee der the Romano-Briten in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_SLAVS}					Eure Streitmächte locken eine Armee der Slawen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_SLAVE}					Eure Streitmächte locken eine Armee der Rebellen in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_CELTS}					Eure Streitmächte locken eine Armee der Kelten in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_BERBERS}					Eure Streitmächte locken eine Armee der Berber in einen Hinterhalt
{EMT_YOUR_FORCES_AMBUSH_ARMY_MOORS}					Eure Streitmächte locken eine Armee der Mauren in einen Hinterhalt


{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_JULII}					Eure Streitmächte werden von einer Armee der Julier angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_BRUTII}					Eure Streitmächte werden von einer Armee der Bruti angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_SCIPII}					Eure Streitmächte werden von einer Armee der Scipionen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_SENATE}					Eure Streitmächte werden von einer Armee des Senats angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_MACEDON}					Eure Streitmächte werden von einer Armee der Makedonier angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_EGYPT}					Eure Streitmächte werden von einer Armee der Ägypter angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_SELEUCID}					Eure Streitmächte werden von einer Armee der Seleukiden angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_CARTHAGE}					Eure Streitmächte werden von einer Armee der Karthager angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_PARTHIA}					Eure Streitmächte werden von einer Armee der Parther angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_PONTUS}					Eure Streitmächte werden von einer Armee der Pontier angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_GAULS}					Eure Streitmächte werden von einer Armee der Gallier angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_GERMANS}					Eure Streitmächte werden von einer Armee der Germanen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_BRITONS}					Eure Streitmächte werden von einer Armee der Britannier angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_ARMENIA}					Eure Streitmächte werden von einer Armee der Armenier angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_DACIA}					Eure Streitmächte werden von einer Armee der Dakier angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_GREEK_CITIES}					Eure Streitmächte werden von einer Armee der griechischen Städte angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_NUMIDIA}					Eure Streitmächte werden von einer Armee der Numidier angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_SCYTHIA}					Eure Streitmächte werden von einer Armee der Skythen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_SPAIN}					Eure Streitmächte werden von einer Armee der Spanier angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_THRACE}					Eure Streitmächte werden von einer Armee der Thraker angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_ALEMANNI}				Eure Streitmächte werden von einer Armee der Alemannen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_EAST}				Eure Streitmächte werden von einer Armee der Römer (Östliches Reich) angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_WEST}				Eure Streitmächte werden von einer Armee der Römer (Westliches Reich) angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_EAST_REBELS}				Eure Streitmächte werden von einer Armee der Römer (Östliches Reich-Rebellen) angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_WEST_REBELS}				Eure Streitmächte werden von einer Armee der Römer (Westliches Reich-Rebellen) angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_FRANKS}					Eure Streitmächte werden von einer Armee der Franken angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_HUNS}				Eure Streitmächte werden von einer Armee der Hunnen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_SARMATIANS}				Eure Streitmächte werden von einer Armee der Sarmaten angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_SASSANIDS}				Eure Streitmächte werden von einer Armee der Sassaniden angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_SAXONS}					Eure Streitmächte werden von einer Armee der Sachsen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_VANDALS}					Eure Streitmächte werden von einer Armee der Wandalen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_GOTHS}				Eure Streitmächte werden von einer Armee der Gothen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_WHITE_HUNS}				Eure Streitmächte werden von einer Armee der Weißen Hunnen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_OSTROGOTHS}				Eure Streitmächte werden von einer Armee der Ostgothen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANO_BRITISH}			Eure Streitmächte werden von einer Armee der the Romano-Briten angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_SLAVS}					Eure Streitmächte werden von einer Armee der Slawen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_SLAVE}					Eure Streitmächte werden von einer Armee der Rebellen angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_CELTS}					Eure Streitmächte werden von einer Armee der Kelten angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_BERBERS}					Eure Streitmächte werden von einer Armee der Berber angegriffen
{EMT_YOUR_FORCES_ATTACKED_ARMY_MOORS}					Eure Streitmächte werden von einer Armee der Mauren angegriffen



{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_JULII}					Eure Streitmächte werden von einem Flottenverband der Julier angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_BRUTII}					Eure Streitmächte werden von einem Flottenverband der Bruti angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_SCIPII}					Eure Streitmächte werden von einem Flottenverband der Scipionen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_SENATE}					Eure Streitmächte werden von einem Flottenverband des Senats angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_MACEDON}					Eure Streitmächte werden von einem Flottenverband der Makedonier angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_EGYPT}					Eure Streitmächte werden von einem Flottenverband der Ägypter angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_SELEUCID}					Eure Streitmächte werden von einem Flottenverband der Seleukiden angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_CARTHAGE}					Eure Streitmächte werden von einem Flottenverband der Karthager angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_PARTHIA}					Eure Streitmächte werden von einem Flottenverband der Parther angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_PONTUS}					Eure Streitmächte werden von einem Flottenverband der Pontier angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_GAULS}					Eure Streitmächte werden von einem Flottenverband der Gallier angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_GERMANS}					Eure Streitmächte werden von einem Flottenverband der Germanen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_BRITONS}					Eure Streitmächte werden von einem Flottenverband der Britannier angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_ARMENIA}					Eure Streitmächte werden von einem Flottenverband der Armenier angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_DACIA}					Eure Streitmächte werden von einem Flottenverband der Dakier angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_GREEK_CITIES}					Eure Streitmächte werden von einem Flottenverband der griechischen Städte angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_NUMIDIA}					Eure Streitmächte werden von einem Flottenverband der Numidier angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_SCYTHIA}					Eure Streitmächte werden von einem Flottenverband der Skythen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_SPAIN}					Eure Streitmächte werden von einem Flottenverband der Spanier angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_THRACE}					Eure Streitmächte werden von einem Flottenverband der Thraker angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_ALEMANNI}				Eure Streitmächte werden von einem Flottenverband der Alemannen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_EAST}				Eure Streitmächte werden von einem Flottenverband der Römer (Östliches Reich) angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_WEST}				Eure Streitmächte werden von einem Flottenverband der Römer (Westliches Reich) angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_EAST_REBELS}				Eure Streitmächte werden von einem Flottenverband der Römer (Östliches Reich-Rebellen) angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_WEST_REBELS}				Eure Streitmächte werden von einem Flottenverband der Römer (Westliches Reich-Rebellen) angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_FRANKS}					Eure Streitmächte werden von einem Flottenverband der Franken angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_HUNS}				Eure Streitmächte werden von einem Flottenverband der Hunnen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_SARMATIANS}				Eure Streitmächte werden von einem Flottenverband der Sarmaten angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_SASSANIDS}				Eure Streitmächte werden von einem Flottenverband der Sassaniden angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_SAXONS}					Eure Streitmächte werden von einem Flottenverband der Sachsen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_VANDALS}					Eure Streitmächte werden von einem Flottenverband der Wandalen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_GOTHS}				Eure Streitmächte werden von einem Flottenverband der Gothen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_WHITE_HUNS}				Eure Streitmächte werden von einem Flottenverband der Weißen Hunnen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_OSTROGOTHS}				Eure Streitmächte werden von einem Flottenverband der Ostgothen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANO_BRITISH}			Eure Streitmächte werden von einem Flottenverband der Romano-Briten angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_SLAVS}					Eure Streitmächte werden von einem Flottenverband der Slawen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_SLAVE}					Eure Streitmächte werden von einem Flottenverband der Rebellen angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_CELTS}					Eure Streitmächte werden von einem Flottenverband der Kelten angegriffen
{EMT_YOUR_FORCES_ATTACKED_NAVY_BERBERS}					Eure Streitmächte werden von einem Flottenverband der Berber angegriffen
