¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Römisch
{SMT_VICTORY_BODY}						Ihr habt das Spiel gewonnen! Euer Volk feiert den Sieg! Wollt Ihr fortfahren und noch mehr Ruhm erlangen?
{SMT_DEFEAT_BODY}						Ihr habt Eure Ziele nicht erfüllt, aber würdet Ihr trotzdem gern fortfahren?
{SMT_DEFEAT_GAME_OVER}					Eure Seite wurde ausgelöscht. Andere werden die Geschichte weiterschreiben und Eure Leistungen als ihre eigenen darstellen! Vielleicht habt Ihr beim nächsten Mal mehr Glück!
{SMT_CONTINUE_CAMPAIGN}					Weiterspielen?
{SMT_EXIT_CAMPAIGN}						Zurück zum Menü
{SMT_CAPTURED_SETTLEMENT}					Eroberte Siedlung
{SMT_DENARI_GAINED_FROM_LOOTING}				Durch Plünderung erlangte Denare
{SMT_POPULATION_GAINED_FROM_ENSLAVE}				Unter regierten Siedlungen zu verteilende Bevölkerung
{SMT_POPULATION_KILLED}						Zu massakrierende Bevölkerung
{SMT_LOOT_SETTLEMENT}						Siedlung besetzen
{SMT_ENSLAVE_POPULACE}						Bevölkerung versklaven
{SMT_EXTERMINATE}						Bevölkerung ausradieren
{SMT_SETTLEMENT_LOOT_BODY_STRING}				Diese Siedlung ist der Macht Eurer Armee erlegen. Der Sieg ist Euer und das Schicksal der Siedlung liegt in Eurer Hand!
{SMT_BUILDINGS_NEEDING_REPAIR}					Reparaturbedürftige Gebäude
{SMT_SHOW_NEW_BUILDINGS}					Baubare Gebäude anzeigen
{SMT_SHOW_REPAIRABLE_BUILDINGS}				Reparaturbedürftige Gebäude anzeigen
{SMT_REPAIR_TIME}						Reparaturzeit
{SMT_REPAIR_COST}						Reparaturkosten
{SMT_BUILD_POINTS}						Baupunkte:
{SMT_ALWAYS_SHOW_ADVANCED_STATS}				Siedlungsdetails immer einblenden
{SMT_ADVANCED_STATS}						Siedlungsdetails
{SMT_SHOW_TECH_TREE}						Gebäudekartei anzeigen
{SMT_BUILDING_BROWSER}						Gebäudekartei
{SMT_STATE_ICON_FARMING_LEVEL}					Farmstufe
{SMT_STATE_ICON_FARMS_BUILT}					Gebaute Farmen
{SMT_STATE_ICON_FOOD_IMPORTS}					Nahrungsimporte
{SMT_STATE_ICON_HEALTH}					Gesundheit
{SMT_STATE_ICON_BUILDINGS}					Gebäude
{SMT_STATE_ICON_TAX_RATE_BONUS}				Steuerraten-Bonus
{SMT_STATE_ICON_UNIT_DISBANDS}					Einheitenauflösungen
{SMT_STATE_ICON_SLAVERY}					Sklaverei
{SMT_STATE_ICON_SQUALOUR}					Schmutz
{SMT_STATE_ICON_DISASTERS}					Katastrophen
{SMT_STATE_ICON_UNIT_RECRUITS}					Rekrutierte Bewohner
{SMT_STATE_ICON_TAX_RATE_PENALTY}				Steuerraten-Strafe
{SMT_STATE_ICON_GARRISON}					Garnison
{SMT_STATE_ICON_BUILDINGS_LAW}					Gesetzes- und Ordnungsgebäude
{SMT_STATE_ICON_BUILDINGS_FUN}					Unterhaltungs- und Spaßgebäude
{SMT_STATE_ICON_GOVERNORS_INFLUENCE}				Einfluss des Statthalters
{SMT_STATE_ICON_TAX_BONUS}					Steuerbonus
{SMT_STATE_ICON_TRIUMPH}					Triumph
{SMT_STATE_ICON_WONDER}					Wunder
{SMT_STATE_ICON_BOOM}						Bevölkerungsaufschwung
{SMT_STATE_ICON_DISTANCE_TO_CAPITAL}				Entfernung zur Hauptstadt
{SMT_STATE_ICON_CULTURE_PENALTY}				Kulturstrafe
{SMT_STATE_ICON_NO_GOVERNANCE}				Keine Führung
{SMT_STATE_ICON_TAX_PENALTY}					Steuerstrafe
{SMT_STATE_ICON_TURMOIL}					Aufruhr
{SMT_STATE_ICON_UNDERPOPULATION}				Unterbevölkerung
{SMT_STATE_ICON_BESIEGED}					Belagert
{SMT_STATE_ICON_BLOCKADED}					Unter Blockade
{SMT_STATE_ICON_RECESSION}					Rezession
{SMT_STATE_ICON_ENTERTAINED}					Unterhalten
{SMT_STATE_ICON_FARMS}						Farmen
{SMT_STATE_ICON_TAXES}						Steuern
{SMT_STATE_ICON_RESOURCES}					Ressourcen
{SMT_STATE_ICON_TRADE}						Handel
{SMT_STATE_ICON_DIPLOMATIC_INCOME}				Diplomatieerträge
{SMT_STATE_ICON_DEMOLITION}					Zerstörung
{SMT_STATE_ICON_LOOTING}					Plünderung
{SMT_STATE_ICON_ADMIN}						Verwaltung
{SMT_STATE_ICON_WAGES}					Sold
{SMT_STATE_ICON_UPKEEP}					Unterhalt
{SMT_STATE_ICON_CONSTRUCTION}					Bau
{SMT_STATE_ICON_RECRUITMENT}					Rekrutierung
{SMT_STATE_ICON_DIPLOMATIC_OUTGOINGS}				Diplomatische Ausgaben
{SMT_STATE_ICON_CORRUPTION}					Korruption
{SMT_TECH_TREE_THREAD_ALREADY_BUILT}				Dies wurde gebaut.
{SMT_TECH_TREE_THREAD_AVAILABLE_TO_BUILD}			Dieses Objekt kann gebaut werden.
{SMT_TECH_TREE_THREAD_NOT_AVAILABLE_TO_BUILD}			Dieses Objekt kann noch nicht gebaut werden.
{SMT_ESPIONAGE_IN_CARTHAGE_TITLE}				Spionage in Karthago
{SMT_A_NEW_RELIGION_TITLE}					Eine neue Religion
{SMT_ERUPTION_AT_ETNA_TITLE}					Ausbruch des Ätna
{SMT_PLAGUE_IN_MACEDONIA_TITLE}				Seuche in Makedonien
{SMT_STOIC_PHILOSOPHY_TITLE}					Stoische Philosophie
{SMT_HAND_PUMP_INVENTED_TITLE}					Die Erfindung der Handpumpe
{SMT_LIBRARIAN_AT_ALEXANDRIA_TITLE}				Bibliothekar in Alexandria
{SMT_GREAT_LIBRARY_COMPLETED_TITLE}				Alexandrinische Bibliothek vervollständigt
{SMT_THROUGH_A_GLASS_CLEARLY_TITLE}				Klar wie Glas
{SMT_ARCHIMEDES_SCREW_TITLE}					Die Archimedische Schraube
{SMT_GREEK_LOGIC_TITLE}						Griechische Logik
{SMT_STAR_CATALOGUE_TITLE}					Sternkatalog
{SMT_PLAGUE_IN_ALEXANDRIA_TITLE}				Seuche in Alexandria
{SMT_RITES_OF_BACCHUS_BANNED_TITLE}				Bacchus-Riten untersagt
{SMT_EARTHQUAKE_IN_PONTUS_TITLE}				Erdbeben in Pontus
{SMT_CONCRETE_INVENTED_TITLE}					Die Erfindung des Zements
{SMT_ERUPTION_AT_VESUVIUS_TITLE}				Ausbruch des Vesuv
{SMT_PHILOSOPHY_IS_FOPPISH_TITLE}				Philosophie ist für Gecken!
{SMT_ASTRONOMY_ADVANCES_TITLE}				Der Fortschritt der Astronomie
{SMT_LEX_AEBUTIA_TITLE}						Lex Aebutia
{SMT_ROMAN_STOICISM_TITLE}					Römische Stoik
{SMT_LEX_PAPIRA_TITLE}						Lex Papira
{SMT_PLAGUE_IN_ITALY_TITLE}					Seuche in Italien
{SMT_VESTAL_VIRGIN_STRUCK_DOWN_TITLE}				Eine niedergeschlagene Vestalin
{SMT_A_NEW_MAN__GAIUS_MARIUS_TITLE}				Der neue Mann: Gaius Marius
{SMT_DE_RERUM_NATURA_TITLE}					De Rerum Natura
{SMT_PLAGUE_IN_ASIA_MINOR_TITLE}				Seuche in Kleinasien
{SMT_LEX_POMPEIA_TITLE}						Lex Pompeia
{SMT_DE_MATERIA_MEDICA_TITLE}					De Materia Medica
{SMT_JULIAN_CALENDAR_TITLE}					Der Julianische Kalender
{SMT_EARTHQUAKE_IN_IBERIA_TITLE}				Erdbeben in Iberien
{SMT_THE_AENEID_TITLE}						Die Äneis
{SMT_LEX_ADULTERIIS_COERCENDIS_TITLE}				Lex Adulteriis Coercendis
{SMT_TROUBLE_IN_JUDEA_TITLE}					Schwierigkeiten in Judäa
{SMT_LEX_FUFIA_CANINIA_TITLE}					Lex Fufia Caninia
{SMT_ESPIONAGE_IN_CARTHAGE_BODY}				Die Römer leugnen, Spione nach Karthago geschickt zu haben, um das Geheimnis des begehrten purpurnen Färbemittels zu stehlen. Sie weisen jedoch darauf hin, dass die Weigerung Karthagos, seine Entdeckung mit der Welt zu teilen, Spionage heraufbeschwört. Die Karthager haben zwei elende Männer festgenommen, die bereits nach leichter Folterung gestanden. Beide wurden gekreuzigt.
{SMT_A_NEW_RELIGION_BODY}					König Asoka von Mauryan hat einen Missionar in die hellenistischen Königreiche entsendet, der die 'Erleuchtung' des Staates seiner Erhabenen Hoheit durch 'den Buddha' verkünden soll. Der Missionar soll die glückselige Erkenntnis unter all denen verbreiten, die noch unwissend sind. In den griechischen Landen kratzen sich viele am Kopf und wundern sich, was das bloß zu bedeuten hat ...
{SMT_ERUPTION_AT_ETNA_BODY}					Der Gott Vulcanus hat die griechische Stadt Naxos zerstört, indem er den Ätna ausbrechen ließ! Tausende sind unter der feurigen Lava ums Leben gekommen.
{SMT_PLAGUE_IN_MACEDONIA_BODY}				Eine große und schreckliche Seuche in Makedonien droht, sich in südlicher Richtung nach Griechenland zu verbreiten. Sicher wird sie durch die Kelten und andere Barbaren verursacht.
{SMT_STOIC_PHILOSOPHY_BODY}					Ariston von Chios beginnt seine Lehren des stoischen Lebens. Diese Philosophie leitet ihren Namen von der Vorhalle der athenischen Agora (Stoa poikile) ab. Hier trafen sich die Stoiker erstmals und legten ihre Überzeugung dar, dass Emotionen wie Neid oder Leidenschaft durch Fehleinschätzungen entstehen. Wer moralische und intellektuelle Perfektion erlangt hat, vermeidet derartige Gefühle.
{SMT_HAND_PUMP_INVENTED_BODY}					Archimedes hat die erste Wasserpumpe der Welt erfunden, mit der Wasser schnell und leicht dorthin gehoben werden kann, wo es benötigt wird.
{SMT_LIBRARIAN_AT_ALEXANDRIA_BODY}				Eratosthenes wird zum Leiter der Alexandrinischen Bibliothek. Er ist ein talentierter Schriftgelehrter und Geograph. Neben seinen vielen anderen Leistungen wird Eratosthenes den Umfang der Erde in sehr genauem Maße kalkulieren und als Erster das System vorschlagen, genaue Positionen durch Längen- und Breitengrade zu bestimmen.
{SMT_GREAT_LIBRARY_COMPLETED_BODY}				Das Zuhause von 800.000 Büchern, die Alexandrinische Bibliothek, wurde endlich vervollständigt. Dies ist mit Sicherheit das größte Gelehrtenzentrum der Welt. Hier lagern die Werke von Plato, Homer, Sokrates und Aristoteles, zusammen mit Schriftstücken der größten babylonischen, jüdischen und ägyptischen Gelehrten.
{SMT_THROUGH_A_GLASS_CLEARLY_BODY}				Während die Ägypter seit Jahren farbiges Glas herstellen, haben die Karthager eine Methode perfektioniert, mit der sie klares produzieren können! Die neuen klaren Kelche werden von Menschen mit Geschmack aus aller Welt geschätzt.
{SMT_ARCHIMEDES_SCREW_BODY}					Archimedes hat eine raffinierte Pumpe erfunden, die im inneren eine Spirale verwendet, um Wasser zu heben. Mit diesem Gerät kann das Wasser aus den Minen gepumpt werden und die Bewässerung geht effizient vonstatten.
{SMT_GREEK_LOGIC_BODY}						Die Theorien von Plato und Aristoteles sind zu einem neuen Gedankensystem zusammengeschlossen worden, das sich 'Logik' nennt - eine Philosophie, die sich mit dem Prinzip der Argumentation bei Debatten befasst. Als Werkzeug des rationalen Denkens ermöglicht es die Logik den Philosophen, ihre Ideen mit neuer und revolutionärer Gründlichkeit zu diskutieren und zu erproben.
{SMT_STAR_CATALOGUE_BODY}					Eratosthenes vervollständigt seinen Katalog der 675 Sterne am Himmelszelt und verwendet eine elegante Methode, um mit Schattenmessung die Größe der Erde zu ermitteln (und das sogar ziemlich exakt).
{SMT_PLAGUE_IN_ALEXANDRIA_BODY}				Der Fluch des Seth sucht Alexandria heim und fordert unzählige Tote. Die Ägypter beten wieder die alten Götter an in der Hoffnung, dass Isis sie vor der Pestilenz beschützen wird - was offenbar außerhalb der Macht der griechischen Götter steht, die die Ptolemäer ins Land brachten!
{SMT_RITES_OF_BACCHUS_BANNED_BODY}				Der römische Senat hat entschieden, dass die Orgien der Bacchanalien eindeutig zu weit gehen. Die Verdorbenheit und Lüsternheit der Säufer haben die Patrizier zu Taten gezwungen. Wer die Riten des Bacchus von nun an ausübt, wird verbannt und ist kein römischer Bürger mehr.
{SMT_EARTHQUAKE_IN_PONTUS_BODY}				Pontus wurde von gewaltigen Erdbeben - sicher ein Zeichen des Missfallens von Poseidon - erschüttert und viele sind gestorben.
{SMT_CONCRETE_INVENTED_BODY}					Der Porticus Aemilia, ein Markt am Tiber, ist das erste aus Zement errichtete Gebäude. Bei diesem 'flüssigen Stein' handelt es sich um eine Mischung aus Schutt, Mörtel, Vulkanasche und Wasser, die in hölzerne Formen gegossen wird. Im Senat behaupten einige, dieses neue Material sei nicht so sicher wie Marmor, und unternehmen Schritte, um seine Verwendung zu verbieten. Tatsächlich ist die römische Art der Zementherstellung in mancherlei Hinsicht besser als die Art, wie man ihn mehr als 2000 Jahre später herstellen wird.
{SMT_ERUPTION_AT_VESUVIUS_BODY}				Die Stadt Herculaneum ist unter der Asche des Vesuv verschüttet worden und eine gewaltige Flutwelle in der Bucht hat Messina großen Schaden zugefügt. Dies ist ein eindeutiges Zeichen, dass sowohl Neptun als auch Vulcanus erzürnt sind.
{SMT_PHILOSOPHY_IS_FOPPISH_BODY}				Rom verbannt griechische Philosophen gemäß des Lex Fannia. Damit muss die verweichlichte und unerwünschte griechische 'Philosophie' zugunsten der mannhafteren und wirklich römischen Zeitvertreibe weichen, für die man den Kopf nicht so sehr anstrengen muss.
{SMT_ASTRONOMY_ADVANCES_BODY}				Hipparch von Nikaia hat die Länge eines Sonnenjahres berechnet, 1080 Sterne kartografiert und die Präzession entdeckt. Dies ist teils seiner wunderbaren Erfindung zu verdanken: dem Astrolabium, das auch für die Navigation eingesetzt wird.
{SMT_LEX_AEBUTIA_BODY}						Dieser Kodex ordnen die gewöhnliche Rechtsausübung formell in einem kohärenten System. Bisher ging es bei römischem Gesetz eher ad hoc zu.
{SMT_ROMAN_STOICISM_BODY}					Bei einem Besuch beeindruckt der griechische Stoiker Panaetius die römische Elite. Seine Ideen werden vor allem deswegen aufgegriffen, weil der Stoizismus dem natürlichen und richtigen römischen Leben zu entsprechen scheint.
{SMT_LEX_PAPIRA_BODY}						Um Korruption und Amtsvergehen zu verhindern, wird dieses Gesetz in Kraft gesetzt, so dass die Legislatur durch geheime Wahl stattfindet und keine Wahlen mehr manipuliert werden.
{SMT_PLAGUE_IN_ITALY_BODY}					In ganz Italien sind Tausende einer erneuten Pestilenz zum Opfer gefallen, die die abscheulichen Barbaren mit sich brachten. Der römische Senat hat befohlen, sämtliche Städte 40 Tage lang zu verschließen. Feuer sollen brennen, um die Luft zu reinigen, und in den Tempel werden nach strengen Zeitplänen Opfer gebracht.
{SMT_VESTAL_VIRGIN_STRUCK_DOWN_BODY}				In Rom beherrscht der Aberglaube die Herzen und Gedanken des einfachen Volkes, der Plebejer, nachdem ein Blitzschlag die junge Tochter eines Ritters getötet hat. Eine richterliche Untersuchung hat bereits ergeben, dass drei der Vestalinnen unkeusch waren - sie wurden zum Tode verurteilt. Die Kybelischen Orakel haben ebenfalls geraten, dass man zur Beschwichtigung der Götter griechische und gallische Paare lebendig begraben sollte. Bisher scheint es gewirkt zu haben.
{SMT_A_NEW_MAN__GAIUS_MARIUS_BODY}				Gaius Marius hat eine Reihe von Gesetzen vorgeschlagen, die dem Proletariat erlauben, seiner neu organisierten römischen Armee beizutreten. Als Belohnung für mehrere Jahre Militärdienst wird jeder Soldat Land als eine Art Rente bekommen. Diese Reform wird ohne Zustimmung des Senats in der Volksversammlung beschlossen. Man kann mit Sicherheit davon ausgehen, dass ein derart populäres - und populistisches - Rechtsmittel Marius auf lange Sicht nichts Gutes bringen wird!\n\nDie nun zur Verfügung stehenden Truppentypen repräsentieren die Struktur der neuen professionellen Armee. Weitere Details findet Ihr in der Schriftrolle Rekrutierung.
{SMT_DE_RERUM_NATURA_BODY}					Bisher war Titus Lucretius Carus am besten als Poet und Philosoph bekannt, doch in seinem Buch 'De Rerum Natura' (Über die Natur) zeigt er sich als Meister der epikureischen Denkweise. Er behauptet auch, die Materie bestehe aus winzigen Partikeln, die er 'Atome' nennt.
{SMT_PLAGUE_IN_ASIA_MINOR_BODY}				Eine Seuche ist durch die Städte Kleinasiens gefegt und hat viele Opfer gefordert. Die vorsichtigen Bürger der griechischen, italienischen und ägyptischen Städte haben bereits ihre Tore und Häfen vor allen verschlossen, die nicht aus ihrer Region stammen.
{SMT_LEX_POMPEIA_BODY}						Dieses neue Gesetz schreibt gewissen Ausländern Rechte zu, damit sie römische Bürger heiraten und mit ihnen Handel treiben dürfen. Sie bekommen sogar die Gelegenheit, römische Bürger zu werden!
{SMT_DE_MATERIA_MEDICA_BODY}					Pedanius Dioscorides von Kilikien hat sein großes Werk veröffentlicht, indem er alle ihm bekannten Pflanzen aufführt, die Heilwirkung haben. Er nennt auch alle giftigen und ihre Gegengifte. Somit ist sein Buch das bisher bedeutendste medizinische Werk.
{SMT_JULIAN_CALENDAR_BODY}					Nach reichlichen Überlegungen wurde ein neuer Kalender zur Verwendung in römischen Ländern eingeführt. Der alte Kalender lag hoffnungslos daneben, was die Jahreszeiten anging. Dieser neue Kalender teilt das Jahr wieder so ein, wie es sein sollte, und bleibt auf raffinierte Weise mit dem Mond- und Sonnenjahr im Einklang, indem es alle vier Jahre einen zusätzlichen Tag gibt.
{SMT_EARTHQUAKE_IN_IBERIA_BODY}				Die iberische Stadt Saguntum wurde von einem gewaltigen Erdbeben erschüttert, das zweifellos Neptun dem Volk geschickt hat. Viele wurden getötet und der Tempel ist eingestürzt.
{SMT_THE_AENEID_BODY}						Vergil hat seine epische Nacherzählung der römischen Geschichte im Stil des Homer vervollständigt. Es ist ein geniales Werk und wird wegen seiner poetischen Korrektheit sehr von den Römern geschätzt.
{SMT_LEX_ADULTERIIS_COERCENDIS_BODY}				Der römische Senat hat ein neues Gesetz eingeführt, wonach eheliche Untreue ein Verbrechen ist. Wer Ehebruch begeht, kann nun mit dem Tode bestraft oder aus Rom verbannt werden.
{SMT_TROUBLE_IN_JUDEA_BODY}					Der Protektoratsherrscher von Judäa scheint etwas verrückt geworden zu sein. Er hat befohlen, alle Neugeborenen in seinem Land zu töten. Dieser beunruhigende Befehl wurde verkündet, nachdem drei Zarathustra-Philosophen ihn besuchten und ihm schlaflose Nächte bereiteten.
{SMT_LEX_FUFIA_CANINIA_BODY}					Der römische Senat hat ein neues Gesetz eingeführt, um das Problem zu beseitigen, dass Sklaven durch die Testamente ihrer Herren die Freiheit geschenkt wurde. Die Massen-Freilassung ist jetzt nicht mehr gestattet. Ein Herr kann nur einen Teil seiner Sklaven per Testament freilassen.
{SMT_THE_SENATE}						Der Senat
{SMT_SENATE_POLICY}						Senatspolitik
{SMT_SENATE_FLOOR}						Senatsparkett
{SMT_SENATE_NO_MISSIONS}					Zurzeit sind keine Senatsmissionen verfügbar
{SMT_SENATE_THE_SENATE}					Der Senat
{SMT_SENATE_THE_PEOPLE}					Das Volk
{SMT_SENATE_STANDING}						Aktueller Status
{SMT_SENATE_POLICY_AT_WAR_STANCE_AT_WAR}			Der Senat stellt zufrieden fest, dass seine Politik und die Eure in Bezug auf dieses Volk übereinstimmen. Es sind Feinde Roms, die durch unsere Legionen vernichtet werden sollten. 
{SMT_SENATE_POLICY_HARASS_STANCE_AT_WAR}			Nach reiflicher Überlegung ist der Senat zu dem Entschluss gekommen, dass dieses Volk es verdient, mit einem Grad an Feindseligkeit behandelt zu werden. Zwar will er nicht so weit gehen, ihnen den Krieg zu erklären, doch er sieht auch keinen Grund, sie angemessen oder gerecht zu behandeln. 
{SMT_SENATE_POLICY_NEUTRAL_STANCE_AT_WAR}			Der Senat hat nach reiflicher Überlegung entschieden, dass Eure kriegerische Einstellung gegenüber diesem Volk den Interessen der Republik entgegensteht. Er ist der Meinung, ein formeller Frieden und keine warme Freundschaft sei der Idealzustand für die guten Römer und dieses Volk. 
{SMT_SENATE_POLICY_FRIENDLY_STANCE_AT_WAR}			Der Senat erklärt, dass Euer Krieg gegen dieses Volk nicht im Interesse Roms ist. Das sofortige Ende des Krieges und ein Rapprochement wären wünschenswert.
{SMT_SENATE_POLICY_ASSIST_STANCE_AT_WAR}			Wozu ist der Krieg nutze? Zu nichts, wie Der Senat findet. Die Senatoren sind ungehalten und erklären, dass Euer Krieg gegen dieses Volk im direkten Konflikt zum besten Interesse Roms steht. Ein sofortiges Rapprochement ist erwünscht. 
{SMT_SENATE_POLICY_AT_WAR_STANCE_NEUTRAL}			Der Senat und das römische Volk sind sich einig, dass diese Seite ein schlimmer Feind Roms ist. Ihre Existenz beleidigt die römische Würde und Krieg ist der einzig mögliche Lösungsweg. 
{SMT_SENATE_POLICY_HARASS_STANCE_NEUTRAL}			Der Senat hat nach reiflicher Überlegung entschieden, dass dieses Volk nicht als Freund Roms angesehen werden sollte. Sein Anspruch auf Land, Freiheit und Unabhängigkeit sollte bei jeder möglichen Gelegenheit angefochten werden. 
{SMT_SENATE_POLICY_NEUTRAL_STANCE_NEUTRAL}			Nach reiflicher Überlegung ist der Senat zu dem Entschluss gekommen, dass ihm das Schicksal dieses Volkes ziemlich gleichgültig ist. Eure derzeitige Neutralität ihm gegenüber scheint unter diesen Umständen angebracht, doch zurzeit kümmert sich kein Senator darum. 
{SMT_SENATE_POLICY_FRIENDLY_STANCE_NEUTRAL}			Die Senatoren stellen zufrieden fest, dass es Euch zurzeit fern liegt, gegen dieses Volk Krieg zu führen. Er würde Euch jedoch gern ans Herz legen, dass es im Interesse des Senats und des römischen Volks liegt, eine freundliche diplomatische Beziehung einzugehen. 
{SMT_SENATE_POLICY_ASSIST_STANCE_NEUTRAL}			Der Senat und das römische Volk sind der Ansicht, dass eine bessere Beziehung zu diesem Volk im Interesse der Republik läge. Eure Einstellung ihm gegenüber ist zwar im Grund bewundernswert, doch jede Beziehung kann verbessert werden. 
{SMT_SENATE_POLICY_AT_WAR_STANCE_ALLIED}			Der Senat ist fest überzeugt, dass diese Leute die Feinde Roms sind. Bei einer Politik in Bezug auf dieses Volk sollte man eher Schwerter als Friedenstauben in Betracht ziehen. Mit diesem Volk zu verhandeln bedeutet, zugleich eine Katastrophe für die Republik und das Missfallen des Senats heraufzubeschwören. Frieden ist kein gutes Mittel, um mit diesem Volk zurecht zu kommen. 
{SMT_SENATE_POLICY_HARASS_STANCE_ALLIED}			Der Senat und das römische Volk sind entschlossen, dass dieses Volk mit Verachtung und nicht als ebenbürtig behandelt werden sollte. Ihre unerwünschte Forderung nach territorialer Integrität, Unabhängigkeit und ein Leben und Freiheit außerhalb Roms sollten energisch verweigert und angefochten werden. Das Schlagwort sollte hier 'Forderungen' lauten, nicht 'Diplomatie'.
{SMT_SENATE_POLICY_NEUTRAL_STANCE_ALLIED}			Der Senat hat entschieden, dass eine enge diplomatische Beziehung zu diesem Volk nicht unbedingt im Interesse Roms liegt, wenn man die vielen Verpflichtungen der Republik bedenkt. Bündnisse sind zwar schön und gut, aber nicht immer angebracht. 
{SMT_SENATE_POLICY_FRIENDLY_STANCE_ALLIED}			Der Senat stellt fest Eure freundliche Beziehung zu diesem Volk und wünscht, dass Ihr diese Politik beibehaltet. Seid gewiss, dass Euer friedliches Vorgehen im besten Interesse Roms liegt. 
{SMT_SENATE_POLICY_ASSIST_STANCE_ALLIED}			Der Senat und das Volk Roms stellen zufrieden fest, dass Ihr mit Eurem Bündnis dieselben Ziele verfolgt wie ihre Politik. Die Menschen dieses Volkes sind unsere Freunde und verdienen jede Hilfe. 
{SMT_SENATE_STANDING_RANKING_0}				Im Senat seid Ihr unbeliebt. Würde man Euch ein Verbrechen oder Verrat vorwerfen, so würde jeder Euch für schuldig halten. Schlimmer noch: Man würde glauben, Ihr hättet etwas noch viel Schlimmeres getan, was noch nicht herausgekommen wäre. 
{SMT_SENATE_STANDING_RANKING_1}				Mitglieder des Senats weigern sich, Euch zu erkennen, wenn sie Euch auf der Straße begegnen. Die Frauen der Senatoren tun so, als würdet Ihr nicht existieren. Die Sklaven der Senatoren überqueren die Straße, um Euch aus dem Weg zu gehen. Ihr seid unpopulär und niemand liebt Euch. 
{SMT_SENATE_STANDING_RANKING_2}				Viele Senatoren loben öffentlich Eure Ahnen und drücken häufig Ihren Wunsch aus, dass Ihr Euch zu ihnen begeben würdet - möglichst bald. 
{SMT_SENATE_STANDING_RANKING_3}				Eure Beliebtheit ist derart, dass es Senatoren als unangenehm empfinden, sich in der Öffentlichkeit mit Euch sehen zu lassen. Privat genießen sie jedoch Euren Wein und Eure Gesellschaft. 
{SMT_SENATE_STANDING_RANKING_4}				Wenn der Senat überhaupt an Euch denkt, betrachtet er Eure Leistungen rein objektiv. Eure Beliebtheit oder Euer Mangel daran haben keinerlei Einfluss auf die edlen Senatoren. 
{SMT_SENATE_STANDING_RANKING_5}				Eine kleine Mehrzahl im Senat erkennt Eure Größe an, doch die meisten stehen Euch gleichgültig gegenüber. Glücklicherweise zieht Ihr nur noch selten die Feindschaft der Senatoren auf Euch. 
{SMT_SENATE_STANDING_RANKING_6}				Die Mehrzahl im Senat hat eine gute Meinung von Euren Taten, doch einige Senatoren fragen sich, ob Eure Handlungen vielleicht eher von Eurem Bedürfnis nach persönlichem Ruhm anstelle römischen Ruhmes getrieben werden. 
{SMT_SENATE_STANDING_RANKING_7}				Die wenigen unsicheren und ehrlich gesagt leider geistesgestörten Senatoren, die sich durch die Beliebtheit anderer bedroht fühlen, sehen Euch nun als eines ihrer größten Probleme. Sie beneiden Euch um Euren Charme und Eure Leistungen. 
{SMT_SENATE_STANDING_RANKING_8}				Der Senat schätzt Euch sehr. Noch wird darüber beraten, ob man Euch zum Vater der Republik erklären oder Euch einfach die Schlüssel zu den Quartieren der Vestalinnen geben sollte! 
{SMT_SENATE_STANDING_RANKING_9}				Der Senat hält Euch für die Reinkarnation des Romulus, einen wahren Retter der Republik und den wichtigsten Verteidiger Roms. Euer Name ist zum Inbegriff der Tugend, der Würde und der römischen Art geworden. 
{SMT_SENATE_POPULAR_SUPPORT_0}				Ihr seid so unbeliebt, dass die Plebejer sich nicht einmal die Mühe machen, Euch mit Exkrementen und Beschimpfungen zu bewerfen, wenn Ihr vorbeigeht. Einem verwesenden Fischkopf wird mehr Respekt und Liebe entgegengebracht als Euch. 
{SMT_SENATE_POPULAR_SUPPORT_1}				Die Plebejer hassen Euch. Mehr noch: Die Plebejer hassen alle Eure Freunde. Und deren Freunde. Und ihre Haustiere, Sklaven und Anhänger. So unbeliebt seid Ihr. 
{SMT_SENATE_POPULAR_SUPPORT_2}				Eure Beliebtheit bei den Unterklassen ist ein wenig unterwältigend. Wenn ein Plebejer Euch etwas entgegenruft, ist es meistens etwas Unanständiges. 
{SMT_SENATE_POPULAR_SUPPORT_3}				Eure Beliebtheit bei den Plebejern könnte besser sein, aber wenigstens werfen sie Euch keine Steine oder Schimpfworte an den Kopf. Meistens erkennen sie Euch einfach gar nicht. 
{SMT_SENATE_POPULAR_SUPPORT_4}				Euer Ansehen bei den Plebejern könnte besser sein, aber es könnte auch schlechter sein. Ihr seid berühmt genug, dass man Euch erkennt, aber nicht berühmt genug, dass man Euch liebt. 
{SMT_SENATE_POPULAR_SUPPORT_5}				Euer Ansehen bei den Plebejern ist durchaus zufriedenstellend. Man hält Euch für einen guten Römer, wenn auch nicht gerade für einen beliebten. 
{SMT_SENATE_POPULAR_SUPPORT_6}				Eure Beliebtheit bei den unteren Schichten ist solide. Man hält Euch für einen guten Mann und, was wichtiger ist, für einen guten Römer. 
{SMT_SENATE_POPULAR_SUPPORT_7}				Die Plebejer mögen Euch - sogar sehr. Für sie seid Ihr wie ein Bollwerk gegen die diktatorische Macht des Senats, ein Held Roms. 
