¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					The House of Julii
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_WEST_REBELS}				Your forces attack an army of the Western Empire Rebels
{EMT_YOUR_FORCES_ATTACK_ARMY_FRANKS}							Your forces attack an army of Franks
{EMT_YOUR_FORCES_ATTACK_ARMY_HUNS}						Your forces attack an army of the Huns
{EMT_YOUR_FORCES_ATTACK_ARMY_SARMATIANS}						Your forces attack an army of Sarmatians
{EMT_YOUR_FORCES_ATTACK_ARMY_SASSANIDS}						Your forces attack an army of Sassanids
{EMT_YOUR_FORCES_ATTACK_ARMY_SAXONS}							Your forces attack an army of Saxons
{EMT_YOUR_FORCES_ATTACK_ARMY_VANDALS}						Your forces attack an army of Vandals
{EMT_YOUR_FORCES_ATTACK_ARMY_GOTHS}						Your forces attack an army of Goths
{EMT_YOUR_FORCES_ATTACK_ARMY_WHITE_HUNS}						Your forces attack an army of the White Huns
{EMT_YOUR_FORCES_ATTACK_ARMY_OSTROGOTHS}						Your forces attack an army of Ostrogoths
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANO_BRITISH}					Your forces attack an army of Romano British
{EMT_YOUR_FORCES_ATTACK_ARMY_SLAVS}							Your forces attack an army of Slavs
{EMT_YOUR_FORCES_ATTACK_ARMY_SLAVE}						Your forces attack an army of Rebels
{EMT_YOUR_FORCES_ATTACK_ARMY_CELTS}						Your forces attack an army of Celts
{EMT_YOUR_FORCES_ATTACK_ARMY_BERBERS}					Your forces attack an army of Berbers
{EMT_YOUR_FORCES_ATTACK_ARMY_MOORS}						Your forces attack an army of Moors



{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_JULII}					Your forces attack a navy of the Julii faction
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_BRUTII}					Your forces attack a navy of the Brutii faction
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_SCIPII}					Your forces attack a navy of the Scipii faction
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_SENATE}					Your forces attack a navy of the Senate
{EMT_YOUR_FORCES_ATTACK_NAVY_MACEDON}					Your forces attack a navy of Macedon
{EMT_YOUR_FORCES_ATTACK_NAVY_EGYPT}					Your forces attack a navy of Egypt
{EMT_YOUR_FORCES_ATTACK_NAVY_SELEUCID}					Your forces attack a navy of the Seleucid Empire
{EMT_YOUR_FORCES_ATTACK_NAVY_CARTHAGE}					Your forces attack a navy of Carthage
{EMT_YOUR_FORCES_ATTACK_NAVY_PARTHIA}					Your forces attack a navy of Parthia
{EMT_YOUR_FORCES_ATTACK_NAVY_PONTUS}					Your forces attack a navy of Pontus
{EMT_YOUR_FORCES_ATTACK_NAVY_GAULS}					Your forces attack a navy of Gaul
{EMT_YOUR_FORCES_ATTACK_NAVY_GERMANS}					Your forces attack a navy of Germania
{EMT_YOUR_FORCES_ATTACK_NAVY_BRITONS}					Your forces attack a navy of Britannia
{EMT_YOUR_FORCES_ATTACK_NAVY_ARMENIA}					Your forces attack a navy of Armenia
{EMT_YOUR_FORCES_ATTACK_NAVY_DACIA}					Your forces attack a navy of Dacia
{EMT_YOUR_FORCES_ATTACK_NAVY_GREEK_CITIES}					Your forces attack a navy of the Greek Cities
{EMT_YOUR_FORCES_ATTACK_NAVY_NUMIDIA}					Your forces attack a navy of Numidia
{EMT_YOUR_FORCES_ATTACK_NAVY_SCYTHIA}					Your forces attack a navy of Scythia
{EMT_YOUR_FORCES_ATTACK_NAVY_SPAIN}					Your forces attack a navy of Spain
{EMT_YOUR_FORCES_ATTACK_NAVY_THRACE}					Your forces attack a navy of Thrace
{EMT_YOUR_FORCES_ATTACK_NAVY_ALEMANNI}				Your forces attack a navy of Alemanni
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_EAST}			Your forces attack a navy of the Eastern Empire
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_WEST}			Your forces attack a navy of the Western Empire
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_EAST_REBELS}			Your forces attack a navy of the Eastern Empire Rebels
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_WEST_REBELS}			Your forces attack a navy of the Western Empire Rebels
{EMT_YOUR_FORCES_ATTACK_NAVY_FRANKS}				Your forces attack a navy of Franks
{EMT_YOUR_FORCES_ATTACK_NAVY_HUNS}			Your forces attack a navy of the Huns
{EMT_YOUR_FORCES_ATTACK_NAVY_SARMATIANS}			Your forces attack a navy of Sarmatians
{EMT_YOUR_FORCES_ATTACK_NAVY_SASSANIDS}				Your forces attack a navy of Sassanids
{EMT_YOUR_FORCES_ATTACK_NAVY_SAXONS}				Your forces attack a navy of Saxons
{EMT_YOUR_FORCES_ATTACK_NAVY_VANDALS}				Your forces attack a navy of Vandals
{EMT_YOUR_FORCES_ATTACK_NAVY_GOTHS}				Your forces attack a navy of the Goths
{EMT_YOUR_FORCES_ATTACK_NAVY_WHITE_HUNS}			Your forces attack a navy of the White Huns
{EMT_YOUR_FORCES_ATTACK_NAVY_OSTROGOTHS}			Your forces attack a navy of Ostrogoths
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANO_BRITISH}		Your forces attack a navy of Romano British
{EMT_YOUR_FORCES_ATTACK_NAVY_SLAVS}					Your forces attack a navy of Slavs
{EMT_YOUR_FORCES_ATTACK_NAVY_SLAVE}					Your forces attack a navy of Rebels
{EMT_YOUR_FORCES_ATTACK_NAVY_CELTS}					Your forces attack a navy of Celts
{EMT_YOUR_FORCES_ATTACK_NAVY_BERBERS}					Your forces attack a navy of Berbers
{EMT_YOUR_FORCES_ATTACK_NAVY_MOORS}					Your forces attack a navy of Moors

{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_JULII}					Your forces ambush an army of the Julii faction
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_BRUTII}					Your forces ambush an army of the Brutii faction
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_SCIPII}					Your forces ambush an army of the Scipii faction
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_SENATE}					Your forces ambush an army of the Senate
{EMT_YOUR_FORCES_AMBUSH_ARMY_MACEDON}					Your forces ambush an army of Macedon
{EMT_YOUR_FORCES_AMBUSH_ARMY_EGYPT}					Your forces ambush an army of Egypt
{EMT_YOUR_FORCES_AMBUSH_ARMY_SELEUCID}					Your forces ambush an army of the Seleucid Empire
{EMT_YOUR_FORCES_AMBUSH_ARMY_CARTHAGE}					Your forces ambush an army of Carthage
{EMT_YOUR_FORCES_AMBUSH_ARMY_PARTHIA}					Your forces ambush an army of Parthia
{EMT_YOUR_FORCES_AMBUSH_ARMY_PONTUS}					Your forces ambush an army of Pontus
{EMT_YOUR_FORCES_AMBUSH_ARMY_GAULS}					Your forces ambush an army of Gaul
{EMT_YOUR_FORCES_AMBUSH_ARMY_GERMANS}					Your forces ambush an army of Germania
{EMT_YOUR_FORCES_AMBUSH_ARMY_BRITONS}					Your forces ambush an army of Britannia
{EMT_YOUR_FORCES_AMBUSH_ARMY_ARMENIA}					Your forces ambush an army of Armenia
{EMT_YOUR_FORCES_AMBUSH_ARMY_DACIA}					Your forces ambush an army of Dacia
{EMT_YOUR_FORCES_AMBUSH_ARMY_GREEK_CITIES}					Your forces ambush an army of the Greek Cities
{EMT_YOUR_FORCES_AMBUSH_ARMY_NUMIDIA}					Your forces ambush an army of Numidia
{EMT_YOUR_FORCES_AMBUSH_ARMY_SCYTHIA}					Your forces ambush an army of Scythia
{EMT_YOUR_FORCES_AMBUSH_ARMY_SPAIN}					Your forces ambush an army of Spain
{EMT_YOUR_FORCES_AMBUSH_ARMY_THRACE}					Your forces ambush an army of Thrace
{EMT_YOUR_FORCES_AMBUSH_ARMY_ALEMANNI}				Your forces ambush an army of Alemanni
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_EAST}			Your forces ambush an army of the Eastern Empire
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_WEST}			Your forces ambush an army of the Western Empire
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_EAST_REBELS}			Your forces ambush an army of the Eastern Empire Rebels
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_WEST_REBELS}			Your forces ambush an army of the Western Empire Rebels
{EMT_YOUR_FORCES_AMBUSH_ARMY_FRANKS}				Your forces ambush an army of Franks
{EMT_YOUR_FORCES_AMBUSH_ARMY_HUNS}			Your forces ambush an army of the Huns
{EMT_YOUR_FORCES_AMBUSH_ARMY_SARMATIANS}			Your forces ambush an army of Sarmatians
{EMT_YOUR_FORCES_AMBUSH_ARMY_SASSANIDS}				Your forces ambush an army of Sassanids
{EMT_YOUR_FORCES_AMBUSH_ARMY_SAXONS}				Your forces ambush an army of Saxons
{EMT_YOUR_FORCES_AMBUSH_ARMY_VANDALS}				Your forces ambush an army of Vandals
{EMT_YOUR_FORCES_AMBUSH_ARMY_GOTHS}				Your forces ambush an army of Goths
{EMT_YOUR_FORCES_AMBUSH_ARMY_WHITE_HUNS}			Your forces ambush an army of the White Huns
{EMT_YOUR_FORCES_AMBUSH_ARMY_OSTROGOTHS}			Your forces ambush an army of Ostrogoths
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANO_BRITISH}		Your forces ambush an army of the Romano British
{EMT_YOUR_FORCES_AMBUSH_ARMY_SLAVS}					Your forces ambush an army of Slavs
{EMT_YOUR_FORCES_AMBUSH_ARMY_SLAVE}					Your forces ambush an army of Rebels
{EMT_YOUR_FORCES_AMBUSH_ARMY_CELTS}					Your forces ambush an army of Celts
{EMT_YOUR_FORCES_AMBUSH_ARMY_BERBERS}					Your forces ambush an army of Berbers
{EMT_YOUR_FORCES_AMBUSH_ARMY_MOORS}					Your forces ambush an army of Moors


{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_JULII}					Your forces are attacked by an army of the Julii faction
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_BRUTII}					Your forces are attacked by an army of the Brutii faction
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_SCIPII}					Your forces are attacked by an army of the Scipii faction
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_SENATE}					Your forces are attacked by an army of the Senate
{EMT_YOUR_FORCES_ATTACKED_ARMY_MACEDON}					Your forces are attacked by an army of Macedon
{EMT_YOUR_FORCES_ATTACKED_ARMY_EGYPT}					Your forces are attacked by an army of Egypt
{EMT_YOUR_FORCES_ATTACKED_ARMY_SELEUCID}					Your forces are attacked by an army of the Seleucid Empire
{EMT_YOUR_FORCES_ATTACKED_ARMY_CARTHAGE}					Your forces are attacked by an army of Carthage
{EMT_YOUR_FORCES_ATTACKED_ARMY_PARTHIA}					Your forces are attacked by an army of Parthia
{EMT_YOUR_FORCES_ATTACKED_ARMY_PONTUS}					Your forces are attacked by an army of Pontus
{EMT_YOUR_FORCES_ATTACKED_ARMY_GAULS}					Your forces are attacked by an army of Gaul
{EMT_YOUR_FORCES_ATTACKED_ARMY_GERMANS}					Your forces are attacked by an army of Germania
{EMT_YOUR_FORCES_ATTACKED_ARMY_BRITONS}					Your forces are attacked by an army of Britannia
{EMT_YOUR_FORCES_ATTACKED_ARMY_ARMENIA}					Your forces are attacked by an army of Armenia
{EMT_YOUR_FORCES_ATTACKED_ARMY_DACIA}					Your forces are attacked by an army of Dacia
{EMT_YOUR_FORCES_ATTACKED_ARMY_GREEK_CITIES}					Your forces are attacked by an army of the Greek Cities
{EMT_YOUR_FORCES_ATTACKED_ARMY_NUMIDIA}					Your forces are attacked by an army of Numidia
{EMT_YOUR_FORCES_ATTACKED_ARMY_SCYTHIA}					Your forces are attacked by an army of Scythia
{EMT_YOUR_FORCES_ATTACKED_ARMY_SPAIN}					Your forces are attacked by an army of Spain
{EMT_YOUR_FORCES_ATTACKED_ARMY_THRACE}					Your forces are attacked by an army of Thrace
{EMT_YOUR_FORCES_ATTACKED_ARMY_ALEMANNI}				Your forces are attacked by an army of Alemanni
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_EAST}				Your forces are attacked by an army of the Eastern Empire
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_WEST}				Your forces are attacked by an army of the Western Empire
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_EAST_REBELS}				Your forces are attacked by an army of the Eastern Empire Rebels
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_WEST_REBELS}				Your forces are attacked by an army of the Western Empire Rebels
{EMT_YOUR_FORCES_ATTACKED_ARMY_FRANKS}					Your forces are attacked by an army of Franks
{EMT_YOUR_FORCES_ATTACKED_ARMY_HUNS}				Your forces are attacked by an army of the Huns
{EMT_YOUR_FORCES_ATTACKED_ARMY_SARMATIANS}				Your forces are attacked by an army of Sarmatians
{EMT_YOUR_FORCES_ATTACKED_ARMY_SASSANIDS}				Your forces are attacked by an army of Sassanids
{EMT_YOUR_FORCES_ATTACKED_ARMY_SAXONS}					Your forces are attacked by an army of Saxons
{EMT_YOUR_FORCES_ATTACKED_ARMY_VANDALS}					Your forces are attacked by an army of Vandals
{EMT_YOUR_FORCES_ATTACKED_ARMY_GOTHS}				Your forces are attacked by an army of Goths
{EMT_YOUR_FORCES_ATTACKED_ARMY_WHITE_HUNS}				Your forces are attacked by an army of the White Huns
{EMT_YOUR_FORCES_ATTACKED_ARMY_OSTROGOTHS}				Your forces are attacked by an army of Ostrogoths
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANO_BRITISH}			Your forces are attacked by an army of the Romano British
{EMT_YOUR_FORCES_ATTACKED_ARMY_SLAVS}					Your forces are attacked by an army of Slavs
{EMT_YOUR_FORCES_ATTACKED_ARMY_SLAVE}					Your forces are attacked by an army of Rebels
{EMT_YOUR_FORCES_ATTACKED_ARMY_CELTS}					Your forces are attacked by an army of Celts
{EMT_YOUR_FORCES_ATTACKED_ARMY_BERBERS}					Your forces are attacked by an army of Berbers
{EMT_YOUR_FORCES_ATTACKED_ARMY_MOORS}					Your forces are attacked by an army of Moors



{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_JULII}					Your forces are attacked by a navy of the Julii faction
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_BRUTII}					Your forces are attacked by a navy of the Brutii faction
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_SCIPII}					Your forces are attacked by a navy of the Scipii faction
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_SENATE}					Your forces are attacked by a navy of the Senate
{EMT_YOUR_FORCES_ATTACKED_NAVY_MACEDON}					Your forces are attacked by a navy of Macedon
{EMT_YOUR_FORCES_ATTACKED_NAVY_EGYPT}					Your forces are attacked by a navy of Egypt
{EMT_YOUR_FORCES_ATTACKED_NAVY_SELEUCID}					Your forces are attacked by a navy of the Seleucid Empire
{EMT_YOUR_FORCES_ATTACKED_NAVY_CARTHAGE}					Your forces are attacked by a navy of Carthage
{EMT_YOUR_FORCES_ATTACKED_NAVY_PARTHIA}					Your forces are attacked by a navy of Parthia
{EMT_YOUR_FORCES_ATTACKED_NAVY_PONTUS}					Your forces are attacked by a navy of Pontus
{EMT_YOUR_FORCES_ATTACKED_NAVY_GAULS}					Your forces are attacked by a navy of Gaul
{EMT_YOUR_FORCES_ATTACKED_NAVY_GERMANS}					Your forces are attacked by a navy of Germania
{EMT_YOUR_FORCES_ATTACKED_NAVY_BRITONS}					Your forces are attacked by a navy of Britannia
{EMT_YOUR_FORCES_ATTACKED_NAVY_ARMENIA}					Your forces are attacked by a navy of Armenia
{EMT_YOUR_FORCES_ATTACKED_NAVY_DACIA}					Your forces are attacked by a navy of Dacia
{EMT_YOUR_FORCES_ATTACKED_NAVY_GREEK_CITIES}					Your forces are attacked by a navy of the Greek Cities
{EMT_YOUR_FORCES_ATTACKED_NAVY_NUMIDIA}					Your forces are attacked by a navy of Numidia
{EMT_YOUR_FORCES_ATTACKED_NAVY_SCYTHIA}					Your forces are attacked by a navy of Scythia
{EMT_YOUR_FORCES_ATTACKED_NAVY_SPAIN}					Your forces are attacked by a navy of Spain
{EMT_YOUR_FORCES_ATTACKED_NAVY_THRACE}					Your forces are attacked by a navy of Thrace
{EMT_YOUR_FORCES_ATTACKED_NAVY_ALEMANNI}				Your forces are attacked by a navy of Alemanni
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_EAST}				Your forces are attacked by a navy of the Eastern Empire
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_WEST}				Your forces are attacked by a navy of the Western Empire
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_EAST_REBELS}				Your forces are attacked by a navy of the Eastern Empire Rebels
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_WEST_REBELS}				Your forces are attacked by a navy of the Western Empire Rebels
{EMT_YOUR_FORCES_ATTACKED_NAVY_FRANKS}					Your forces are attacked by a navy of Franks
{EMT_YOUR_FORCES_ATTACKED_NAVY_HUNS}				Your forces are attacked by a navy of the Huns
{EMT_YOUR_FORCES_ATTACKED_NAVY_SARMATIANS}				Your forces are attacked by a navy of Sarmatians
{EMT_YOUR_FORCES_ATTACKED_NAVY_SASSANIDS}				Your forces are attacked by a navy of Sassanids
{EMT_YOUR_FORCES_ATTACKED_NAVY_SAXONS}					Your forces are attacked by a navy of Saxons
{EMT_YOUR_FORCES_ATTACKED_NAVY_VANDALS}					Your forces are attacked by a navy of Vandals
{EMT_YOUR_FORCES_ATTACKED_NAVY_GOTHS}				Your forces are attacked by a navy of Goth
{EMT_YOUR_FORCES_ATTACKED_NAVY_WHITE_HUNS}				Your forces are attacked by a navy of the White Huns
{EMT_YOUR_FORCES_ATTACKED_NAVY_OSTROGOTHS}				Your forces are attacked by a navy of Ostrogoths
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANO_BRITISH}			Your forces are attacked by a navy of the Romano British
{EMT_YOUR_FORCES_ATTACKED_NAVY_SLAVS}					Your forces are attacked by a navy of Slavs
{EMT_YOUR_FORCES_ATTACKED_NAVY_SLAVE}					Your forces are attacked by a navy of Rebels
{EMT_YOUR_FORCES_ATTACKED_NAVY_CELTS}					Your forces are attacked by a navy of Celts
{EMT_YOUR_FORCES_ATTACKED_NAVY_BERBERS}					Your forces are attacked by a navy of Berbers
{EMT_YOUR_FORCES_ATTACKED_NAVY_MOORS}					Your forces are attacked by a navy of Moors


{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_JULII}					Your forces are ambushed by an army of the Julii faction
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_BRUTII}					Your forces are ambushed by an army of the Brutii faction
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_SCIPII}					Your forces are ambushed by an army of the Scipii faction
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_SENATE}					Your forces are ambushed by an army of the Senate
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MACEDON}					Your forces are ambushed by an army of Macedon
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EGYPT}					Your forces are ambushed by an army of Egypt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SELEUCID}					Your forces are ambushed by an army of the Seleucid Empire
{EMT_YOUR_FORCES_AMBUSHED_ARMY_CARTHAGE}					Your forces are ambushed by an army of Carthage
{EMT_YOUR_FORCES_AMBUSHED_ARMY_PARTHIA}					Your forces are ambushed by an army of Parthia
{EMT_YOUR_FORCES_AMBUSHED_ARMY_PONTUS}					Your forces are ambushed by an army of Pontus
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GAULS}					Your forces are ambushed by an army of Gaul
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GERMANS}					Your forces are ambushed by an army of Germania
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BRITONS}					Your forces are ambushed by an army of Britannia
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ARMENIA}					Your forces are ambushed by an army of Armenia
{EMT_YOUR_FORCES_AMBUSHED_ARMY_DACIA}					Your forces are ambushed by an army of Dacia
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GREEK_CITIES}					Your forces are ambushed by an army of the Greek Cities
{EMT_YOUR_FORCES_AMBUSHED_ARMY_NUMIDIA}					Your forces are ambushed by an army of Numidia
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SCYTHIA}					Your forces are ambushed by an army of Scythia
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SPAIN}					Your forces are ambushed by an army of Spain
{EMT_YOUR_FORCES_AMBUSHED_ARMY_THRACE}					Your forces are ambushed by an army of Thrace
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ALEMANNI}				Your forces are ambushed by an army of Alemanni
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_EAST}				Your forces are ambushed by an army of the Eastern Empire
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_WEST}				Your forces are ambushed by an army of the Western Empire
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_EAST_REBELS}				Your forces are ambushed by an army of the Eastern Empire Rebels
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_WEST_REBELS}				Your forces are ambushed by an army of the Western Empire Rebels
{EMT_YOUR_FORCES_AMBUSHED_ARMY_FRANKS}					Your forces are ambushed by an army of Franks
{EMT_YOUR_FORCES_AMBUSHED_ARMY_HUNS}				Your forces are ambushed by an army of the Huns
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SARMATIANS}				Your forces are ambushed by an army of Sarmatians
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SASSANIDS}				Your forces are ambushed by an army of Sassanids
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SAXONS}					Your forces are ambushed by an army of Saxons
{EMT_YOUR_FORCES_AMBUSHED_ARMY_VANDALS}					Your forces are ambushed by an army of Vandals
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GOTHS}				Your forces are ambushed by an army of Goths
{EMT_YOUR_FORCES_AMBUSHED_ARMY_WHITE_HUNS}				Your forces are ambushed by an army of the White Huns
{EMT_YOUR_FORCES_AMBUSHED_ARMY_OSTROGOTHS}				Your forces are ambushed by an army of Ostrogoths
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANO_BRITISH}			Your forces are ambushed by an army of the Romano British
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SLAVS}					Your forces are ambushed by an army of Slavs
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SLAVE}					Your forces are ambushed by an army of Rebels
{EMT_YOUR_FORCES_AMBUSHED_ARMY_CELTS}					Your forces are ambushed by an army of Celts
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BERBERS}					Your forces are ambushed by an army of Berbers
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MOORS}					Your forces are ambushed by an army of Moors


{EMT_VICTORY_ROMANS_JULII}		The House of Julii are victorious
{EMT_VICTORY_ROMANS_BRUTII}		The House of Brutii are victorious
{EMT_VICTORY_ROMANS_SCIPII}		The House of Scipii are victorious
{EMT_VICTORY_ROMANS_SENATE}		The Senate and People of Rome are victorious
{EMT_VICTORY_MACEDON}			The Macedonians are victorious
{EMT_VICTORY_EGYPT}			The Egyptians are victorious
{EMT_VICTORY_SELEUCID}			The Seleucids are victorious
{EMT_VICTORY_CARTHAGE}		The Carthaginians are victorious
{EMT_VICTORY_PARTHIA}			The Parthians are victorious
{EMT_VICTORY_PONTUS}			The Pontics are victorious
{EMT_VICTORY_GAULS}			The Gauls are victorious
{EMT_VICTORY_GERMANS}			The Germans are victorious
{EMT_VICTORY_BRITONS}			The Britons are victorious
{EMT_VICTORY_ARMENIA}			The Armenians are victorious
{EMT_VICTORY_DACIA}			The Dacians are victorious
{EMT_VICTORY_GREEK_CITIES}		The Greek are victorious
{EMT_VICTORY_NUMIDIA}			The Numidians are victorious
{EMT_VICTORY_SCYTHIA}			The Scythians are victorious
{EMT_VICTORY_SPAIN}			The Spanish are victorious
{EMT_VICTORY_THRACE}			The Thracians are victorious
{EMT_VICTORY_ALEMANNI}			The Alemanni are victorious
{EMT_VICTORY_EMPIRE_EAST}		The Eastern Empire are victorious
{EMT_VICTORY_EMPIRE_WEST}		The Western Empire are victorious
{EMT_VICTORY_EMPIRE_EAST_REBELS}	The Eastern Empire Rebels are victorious
{EMT_VICTORY_EMPIRE_WEST_REBELS}	The Western Empire Rebels are victorious
{EMT_VICTORY_FRANKS}			The Franks are victorious
{EMT_VICTORY_HUNS}			The Huns are victorious
{EMT_VICTORY_SARMATIANS}		The Sarmatians are victorious
{EMT_VICTORY_SASSANIDS}		The Sassanids are victorious
{EMT_VICTORY_SAXONS}			The Saxons are victorious
{EMT_VICTORY_VANDALS}			The Vandals are victorious
{EMT_VICTORY_GOTHS}			The Goths are victorious
{EMT_VICTORY_WHITE_HUNS}		The White Huns are victorious
{EMT_VICTORY_OSTROGOTHS}		The Ostrogoths are victorious
{EMT_VICTORY_ROMANO_BRITISH}		The Romano British are victorious
{EMT_VICTORY_SLAVS}			The Slavs are victorious
{EMT_VICTORY_SLAVE}			The Rebels are victorious
{EMT_VICTORY_BERBERS}			The Berbers are victorious
{EMT_VICTORY_MOORS}			The Moors are victorious
{EMT_VICTORY_CELTS}			The Celts are victorious

{EMT_VICTORY_DESCR_ROMANS_BRUTII}		Rome is now safe under Brutii rule! All that was promised has come true under your strong leadership. A Brutii fist now wields the sword! A Brutii hand now wields the rods that bring law to the world! This is why the Brutii have struggled for years, and now victory is here!
{EMT_VICTORY_DESCR_ROMANS_JULII}		This is a moment to savour! Rome and the Empire - indeed, the world - lie at your feet, and the People of Rome love you! The old women of the Senate need not trouble you further. Your enemies are weak, confused and thoroughly beaten. Victory – enjoy the trappings of power that you have earned!
{EMT_VICTORY_DESCR_ROMANS_SCIPII}		The great family of Scipii have been blessed by the gods and your inspired leadership! Victory is indeed sweet, and all Romans can sleep safely knowing that we rule the Empire and protect them from all enemies. Roman – Scipii - armies now control an Empire that stretches across the world! Victory is yours!
{EMT_VICTORY_DESCR_BRITONS}			Victory is yours! The Roman world has passed away, and now our warriors rule the lands between sunrise and sunset. Across the world the druids chant to the old gods! This is a moment to savour, a moment to raise the cup of victory and from it drink deeply!
{EMT_VICTORY_DESCR_CARTHAGE}			The world is yours, and so is victory! No other power can threaten the greatness that Carthage has achieved under your inspired and profitable leadership! This is a day to celebrate, a day to consider the shape of the world under its new Carthaginian overlords!
{EMT_VICTORY_DESCR_EGYPT}			Victory is yours! All your foes have faded into the shadows or been turned to dust by the desert winds. Pharaohs as yet unborn will take your name in recognition of your achievement in leading the Egyptians to such greatness!
{EMT_VICTORY_DESCR_GAULS}			Gallic courage - and your brave leadership - have conjured up victory! Celebrate your achievement, and gaze upon the extent of the Gallic empire - a wonder of the world in its greatness. Other peoples can only despair and go in fear at your might!
{EMT_VICTORY_DESCR_GERMANS}			You have lead the brave German people out of their dark forests and into the sunlit lands of victory! The world is yours, and all lesser peoples cower in fear at the approach of your armies. This is victory - for a barbarian people! 
{EMT_VICTORY_DESCR_GREEK_CITIES}		Civilization has been spread to every corner of the world! Greeks rule wisely and well across many lands, and this is victory! Better still, it is a victory achieved under your intelligent and diligent leadership! Truly the gods of Olympus have blessed you with miraculous powers of command!
